,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
120,Beijing,Beijing,Empty,2006.09.11,"$500,000",Marcos Baghdatis,Hard,/en/scores/archive/beijing/747/2006/results,2006
121,Bucharest,Bucharest,Empty,2006.09.11,"$380,000",Jurgen Melzer,Clay,/en/scores/archive/bucharest/773/2006/results,2006
122,Bangkok,Bangkok,Empty,2006.09.25,"$550,000",James Blake,Hard,/en/scores/archive/bangkok/1720/2006/results,2006
123,Mumbai,Mumbai,Empty,2006.09.25,"$380,000",Dmitry Tursunov,Hard,/en/scores/archive/mumbai/3465/2006/results,2006
124,Palermo,Palermo,Empty,2006.09.25,"$380,000",Filippo Volandri,Clay,/en/scores/archive/palermo/325/2006/results,2006
125,Tokyo,Tokyo,Empty,2006.10.02,"$765,000",Roger Federer,Hard,/en/scores/archive/tokyo/329/2006/results,2006
126,Metz,Metz,Empty,2006.10.02,"$380,000",Novak Djokovic,Hard,/en/scores/archive/metz/341/2006/results,2006
127,Moscow,Moscow,Empty,2006.10.09,"$1,000,000",Nikolay Davydenko,Carpet,/en/scores/archive/moscow/438/2006/results,2006
128,Stockholm,Stockholm,Empty,2006.10.09,"$800,000",James Blake,Hard,/en/scores/archive/stockholm/429/2006/results,2006
129,Vienna,Vienna,Empty,2006.10.09,"$690,000",Ivan Ljubicic,Hard,/en/scores/archive/vienna/337/2006/results,2006
130,ATP Masters 1000 Madrid,Madrid,Empty,2006.10.16,"$2,450,000",Roger Federer,Hard,/en/scores/archive/madrid/1536/2006/results,2006
131,Basel,Basel,Empty,2006.10.23,"$1,000,000",Roger Federer,Carpet,/en/scores/archive/basel/328/2006/results,2006
132,St. Petersburg,St. Petersburg,Empty,2006.10.23,"$1,000,000",Mario Ancic,Carpet,/en/scores/archive/st-petersburg/568/2006/results,2006
133,Lyon,Lyon,Empty,2006.10.23,"$800,000",Richard Gasquet,Carpet,/en/scores/archive/lyon/7309/2006/results,2006
134,ATP Masters 1000 Paris,Paris,Empty,2006.10.30,"$2,450,000",Nikolay Davydenko,Carpet,/en/scores/archive/paris/352/2006/results,2006
135,Tennis Masters Cup,,Empty,2006.11.13,"$3,700,000",Roger Federer,Hard,/en/scores/archive/tennis-masters-cup/605/2006/results,2006
136,Doha,Doha,Empty,2007.01.01,"$1,000,000",Ivan Ljubicic,Hard,/en/scores/archive/doha/451/2007/results,2007
137,Adelaide,Adelaide,Empty,2007.01.01,"$436,000",Novak Djokovic,Hard,/en/scores/archive/adelaide/7308/2007/results,2007
138,Chennai,Chennai,Empty,2007.01.01,"$416,000",Xavier Malisse,Hard,/en/scores/archive/chennai/891/2007/results,2007
139,Sydney,Sydney,Empty,2007.01.08,"$436,000",James Blake,Hard,/en/scores/archive/sydney/338/2007/results,2007
140,Auckland,Auckland,Empty,2007.01.08,"$416,000",David Ferrer,Hard,/en/scores/archive/auckland/301/2007/results,2007
141,Australian Open,Melbourne,Empty,2007.01.15,"$7,297,052",Roger Federer,Hard,/en/scores/archive/australian-open/580/2007/results,2007
142,Delray Beach,Delray Beach,Empty,2007.01.28,"$416,000",Xavier Malisse,Hard,/en/scores/archive/delray-beach/499/2007/results,2007
143,Viña del Mar,Vina Del Mar,Empty,2007.01.29,"$448,000",Luis Horna,Clay,/en/scores/archive/vina-del-mar/505/2007/results,2007
144,Zagreb,Zagreb,Empty,2007.01.29,"$416,000",Marcos Baghdatis,Carpet,/en/scores/archive/zagreb/2276/2007/results,2007
145,Marseille,Marseille,Empty,2007.02.12,"$600,000",Gilles Simon,Hard,/en/scores/archive/marseille/496/2007/results,2007
