,Home,Away,Home Score,Away Score,Tournament,Year,City,Country
289,Andy Murray,Feliciano Lopez,2,1,Australian Open,2014,Melbourne,Australia
290,Roger Federer,Teymuraz Gabashvili,2,1,Australian Open,2014,Melbourne,Australia
291,Tomas Berdych,Damir Dzumhur,2,1,Australian Open,2014,Melbourne,Australia
292,Stan Wawrinka,Vasek Pospisil,0,0,Australian Open,2014,Melbourne,Australia
293,Tommy Robredo,Richard Gasquet,3,1,Australian Open,2014,Melbourne,Australia
294,Jo-Wilfried Tsonga,Gilles Simon,2,1,Australian Open,2014,Melbourne,Australia
295,Grigor Dimitrov,Milos Raonic,3,1,Australian Open,2014,Melbourne,Australia
296,Fabio Fognini,Sam Querrey,2,1,Australian Open,2014,Melbourne,Australia
297,Kei Nishikori,Donald Young,2,1,Australian Open,2014,Melbourne,Australia
298,Kevin Anderson,Edouard Roger-Vasselin,3,2,Australian Open,2014,Melbourne,Australia
299,Florian Mayer,Jerzy Janowicz,2,1,Australian Open,2014,Melbourne,Australia
300,Roberto Bautista Agut,Benoit Paire,2,1,Australian Open,2014,Melbourne,Australia
301,Stephane Robert,Martin Klizan,2,1,Australian Open,2014,Melbourne,Australia
302,Rafael Nadal,Thanasi Kokkinakis,2,1,Australian Open,2014,Melbourne,Australia
303,Novak Djokovic,Leonardo Mayer,2,1,Australian Open,2014,Melbourne,Australia
304,David Ferrer,Adrian Mannarino,3,1,Australian Open,2014,Melbourne,Australia
305,Andy Murray,Vincent Millot,2,1,Australian Open,2014,Melbourne,Australia
306,Roberto Bautista Agut,Juan Martin del Potro,3,2,Australian Open,2014,Melbourne,Australia
307,Roger Federer,Blaz Kavcic,2,1,Australian Open,2014,Melbourne,Australia
308,Tomas Berdych,Kenny De Schepper,2,1,Australian Open,2014,Melbourne,Australia
309,Stan Wawrinka,Alejandro Falla,3,1,Australian Open,2014,Melbourne,Australia
310,Richard Gasquet,Nikolay Davydenko,2,1,Australian Open,2014,Melbourne,Australia
311,Jo-Wilfried Tsonga,Thomaz Bellucci,2,1,Australian Open,2014,Melbourne,Australia
312,Milos Raonic,Victor Hanescu,2,1,Australian Open,2014,Melbourne,Australia
313,Florian Mayer,Mikhail Youzhny,3,2,Australian Open,2014,Melbourne,Australia
314,Fabio Fognini,Jarkko Nieminen,3,1,Australian Open,2014,Melbourne,Australia
315,Kei Nishikori,Dusan Lajovic,2,1,Australian Open,2014,Melbourne,Australia
316,Tommy Robredo,Julien Benneteau,3,1,Australian Open,2014,Melbourne,Australia
317,Gilles Simon,Marin Cilic,3,2,Australian Open,2014,Melbourne,Australia
318,Kevin Anderson,Dominic Thiem,2,1,Australian Open,2014,Melbourne,Australia
319,Jerzy Janowicz,Pablo Andujar,3,1,Australian Open,2014,Melbourne,Australia
320,Grigor Dimitrov,Yen-Hsun Lu,2,1,Australian Open,2014,Melbourne,Australia
321,Sam Querrey,Ernests Gulbis,2,1,Australian Open,2014,Melbourne,Australia
322,Donald Young,Andreas Seppi,3,2,Australian Open,2014,Melbourne,Australia
323,Gael Monfils,Jack Sock,2,1,Australian Open,2014,Melbourne,Australia
324,Feliciano Lopez,Michael Berrer,2,1,Australian Open,2014,Melbourne,Australia
325,Benoit Paire,Nick Kyrgios,3,2,Australian Open,2014,Melbourne,Australia
326,Vasek Pospisil,Matthew Ebden,3,1,Australian Open,2014,Melbourne,Australia
327,Jeremy Chardy,Alexandr Dolgopolov,3,1,Australian Open,2014,Melbourne,Australia
328,Denis Istomin,Dmitry Tursunov,3,1,Australian Open,2014,Melbourne,Australia
329,Teymuraz Gabashvili,Fernando Verdasco,3,2,Australian Open,2014,Melbourne,Australia
330,Damir Dzumhur,Ivan Dodig,3,1,Australian Open,2014,Melbourne,Australia
331,Martin Klizan,Blaz Rola,3,1,Australian Open,2014,Melbourne,Australia
332,Stephane Robert,Michal Przysiezny,3,1,Australian Open,2014,Melbourne,Australia
333,Edouard Roger-Vasselin,Guillermo Garcia-Lopez,3,1,Australian Open,2014,Melbourne,Australia
334,Rafael Nadal,Bernard Tomic,0,0,Australian Open,2014,Melbourne,Australia
335,Novak Djokovic,Lukas Lacko,2,1,Australian Open,2014,Melbourne,Australia
336,David Ferrer,Alejandro Gonzalez,2,1,Australian Open,2014,Melbourne,Australia
337,Andy Murray,Go Soeda,2,1,Australian Open,2014,Melbourne,Australia
338,Juan Martin del Potro,Rhyne Williams,3,1,Australian Open,2014,Melbourne,Australia
339,Roger Federer,James Duckworth,2,1,Australian Open,2014,Melbourne,Australia
340,Tomas Berdych,Aleksandr Nedovyesov,2,1,Australian Open,2014,Melbourne,Australia
341,Stan Wawrinka,Andrey Golubev,2,0,Australian Open,2014,Melbourne,Australia
342,Richard Gasquet,David Guez,2,1,Australian Open,2014,Melbourne,Australia
343,Jo-Wilfried Tsonga,Filippo Volandri,2,1,Australian Open,2014,Melbourne,Australia
344,Milos Raonic,Daniel Gimeno-Traver,3,1,Australian Open,2014,Melbourne,Australia
345,Guillermo Garcia-Lopez,Tommy Haas,2,0,Australian Open,2014,Melbourne,Australia
346,Martin Klizan,John Isner,2,0,Australian Open,2014,Melbourne,Australia
347,Mikhail Youzhny,Jan-Lennard Struff,2,1,Australian Open,2014,Melbourne,Australia
348,Fabio Fognini,Alex Bogomolov Jr.,2,0,Australian Open,2014,Melbourne,Australia
349,Kei Nishikori,Marinko Matosevic,3,2,Australian Open,2014,Melbourne,Australia
350,Tommy Robredo,Lukas Rosol,3,2,Australian Open,2014,Melbourne,Australia
351,Gilles Simon,Daniel Brands,3,2,Australian Open,2014,Melbourne,Australia
352,Kevin Anderson,Jiri Vesely,3,2,Australian Open,2014,Melbourne,Australia
353,Jerzy Janowicz,Jordan Thompson,3,2,Australian Open,2014,Melbourne,Australia
