,Home,Away,Home Score,Away Score,Tournament,Year,City,Country
31,Frank Dancevic,Tobias Kamke,2,0,Brisbane,2015,Brisbane,Australia
32,Viktor Troicki,Miloslav Mecir,2,1,Brisbane,2015,Brisbane,Australia
33,Marsel Ilhan,Jan Mertl,2,1,Brisbane,2015,Brisbane,Australia
34,Rhyne Williams,Pierre-Hugues Herbert,2,0,Brisbane,2015,Brisbane,Australia
35,Marius Copil,Tim Smyczek,2,0,Brisbane,2015,Brisbane,Australia
36,Denis Kudla,Taro Daniel,2,1,Brisbane,2015,Brisbane,Australia
37,Matt Reid,Norbert Gombos,2,1,Brisbane,2015,Brisbane,Australia
38,Lukasz Kubot,Yasutaka Uchiyama,2,1,Brisbane,2015,Brisbane,Australia
39,Tobias Kamke,Blake Mott,2,1,Brisbane,2015,Brisbane,Australia
40,Viktor Troicki,Maverick Banes,2,0,Brisbane,2015,Brisbane,Australia
41,Marsel Ilhan,Jozef Kovalik,2,1,Brisbane,2015,Brisbane,Australia
42,Pierre-Hugues Herbert,Alexander Zverev,2,0,Brisbane,2015,Brisbane,Australia
43,Tim Smyczek,Robby Ginepri,2,0,Brisbane,2015,Brisbane,Australia
44,Denis Kudla,Dane Propoggia,2,0,Brisbane,2015,Brisbane,Australia
45,Norbert Gombos,Enrique Lopez Perez,2,1,Brisbane,2015,Brisbane,Australia
46,Yasutaka Uchiyama,Lucas Pouille,2,0,Brisbane,2015,Brisbane,Australia
47,Marius Copil,Andrea Arnaboldi,2,1,Brisbane,2015,Brisbane,Australia
48,Frank Dancevic,Harry Bourchier,2,1,Brisbane,2015,Brisbane,Australia
49,Taro Daniel,Antonio Veic,2,0,Brisbane,2015,Brisbane,Australia
50,Lukasz Kubot,Alex Kuznetsov,2,0,Brisbane,2015,Brisbane,Australia
51,Miloslav Mecir,Michal Przysiezny,2,1,Brisbane,2015,Brisbane,Australia
52,Jan Mertl,Roberto Marcora,2,1,Brisbane,2015,Brisbane,Australia
53,Matt Reid,Hans Podlipnik-Castillo,2,0,Brisbane,2015,Brisbane,Australia
54,Rhyne Williams,Jan Hernych,2,0,Brisbane,2015,Brisbane,Australia
55,David Ferrer,Tomas Berdych,2,0,Doha,2015,Doha,Qatar
56,Tomas Berdych,Andreas Seppi,2,0,Doha,2015,Doha,Qatar
57,David Ferrer,Ivo Karlovic,2,1,Doha,2015,Doha,Qatar
58,Ivo Karlovic,Novak Djokovic,2,1,Doha,2015,Doha,Qatar
59,Tomas Berdych,Richard Gasquet,2,0,Doha,2015,Doha,Qatar
60,David Ferrer,Dustin Brown,2,0,Doha,2015,Doha,Qatar
61,Andreas Seppi,Ivan Dodig,2,0,Doha,2015,Doha,Qatar
62,Novak Djokovic,Sergiy Stakhovsky,2,0,Doha,2015,Doha,Qatar
63,Tomas Berdych,Blaz Kavcic,2,0,Doha,2015,Doha,Qatar
64,David Ferrer,Fernando Verdasco,2,0,Doha,2015,Doha,Qatar
65,Richard Gasquet,Simone Bolelli,2,0,Doha,2015,Doha,Qatar
66,Ivo Karlovic,Nikoloz Basilashvili,2,0,Doha,2015,Doha,Qatar
67,Dustin Brown,Jan-Lennard Struff,2,0,Doha,2015,Doha,Qatar
68,Ivan Dodig,Michael Berrer,2,0,Doha,2015,Doha,Qatar
69,Andreas Seppi,Joao Souza,2,0,Doha,2015,Doha,Qatar
70,Novak Djokovic,Dusan Lajovic,2,0,Doha,2015,Doha,Qatar
71,Michael Berrer,Rafael Nadal,2,1,Doha,2015,Doha,Qatar
72,Tomas Berdych,Denis Istomin,2,0,Doha,2015,Doha,Qatar
73,David Ferrer,Thiemo de Bakker,2,1,Doha,2015,Doha,Qatar
74,Jan-Lennard Struff,Philipp Kohlschreiber,2,1,Doha,2015,Doha,Qatar
75,Richard Gasquet,Pablo Andujar,2,0,Doha,2015,Doha,Qatar
76,Ivo Karlovic,Lukas Rosol,2,0,Doha,2015,Doha,Qatar
77,Andreas Seppi,Leonardo Mayer,2,1,Doha,2015,Doha,Qatar
78,Nikoloz Basilashvili,Mikhail Youzhny,2,0,Doha,2015,Doha,Qatar
79,Simone Bolelli,Benjamin Becker,2,0,Doha,2015,Doha,Qatar
80,Dustin Brown,Paolo Lorenzi,2,0,Doha,2015,Doha,Qatar
81,Ivan Dodig,Mohamed Safwat,2,0,Doha,2015,Doha,Qatar
82,Blaz Kavcic,Juan Monaco,2,0,Doha,2015,Doha,Qatar
83,Joao Souza,Malek Jaziri,2,1,Doha,2015,Doha,Qatar
84,Sergiy Stakhovsky,Jabor Al-Mutawa,2,0,Doha,2015,Doha,Qatar
85,Fernando Verdasco,Teymuraz Gabashvili,2,1,Doha,2015,Doha,Qatar
86,Nikoloz Basilashvili,Filip Krajinovic,2,0,Doha,2015,Doha,Qatar
87,Blaz Kavcic,Rajeev Ram,2,0,Doha,2015,Doha,Qatar
88,Thiemo de Bakker,Farrukh Dustov,2,0,Doha,2015,Doha,Qatar
89,Michael Berrer,Matthias Bachinger,2,1,Doha,2015,Doha,Qatar
90,Filip Krajinovic,Ilija Bozoljac,2,1,Doha,2015,Doha,Qatar
91,Blaz Kavcic,Marco Cecchinato,2,0,Doha,2015,Doha,Qatar
92,Matthias Bachinger,Andreas Beck,2,0,Doha,2015,Doha,Qatar
93,Farrukh Dustov,Artem Sitak,2,0,Doha,2015,Doha,Qatar
94,Michael Berrer,Kimmer Coppejans,2,0,Doha,2015,Doha,Qatar
95,Rajeev Ram,Niels Desein,2,0,Doha,2015,Doha,Qatar
96,Nikoloz Basilashvili,Philipp Oswald,2,0,Doha,2015,Doha,Qatar
97,Thiemo de Bakker,Jesse Huta Galung,2,1,Doha,2015,Doha,Qatar
98,Filip Krajinovic,Stefano Napolitano,2,0,Doha,2015,Doha,Qatar
99,Blaz Kavcic,Kyle Edmund,2,0,Doha,2015,Doha,Qatar
100,Jesse Huta Galung,James Ward,2,0,Doha,2015,Doha,Qatar
101,Andreas Beck,Philipp Davydenko,2,0,Doha,2015,Doha,Qatar
102,Farrukh Dustov,Jassem Al Zeyara,2,0,Doha,2015,Doha,Qatar
103,Michael Berrer,Daniel Munoz de la Nava,2,1,Doha,2015,Doha,Qatar
104,Nikoloz Basilashvili,Gastao Elias,2,0,Doha,2015,Doha,Qatar
105,Rajeev Ram,Pedja Krstin,2,0,Doha,2015,Doha,Qatar
106,Matthias Bachinger,Ali Al-Saygh,2,0,Doha,2015,Doha,Qatar
107,Ilija Bozoljac,Antal Van Der Duim,2,0,Doha,2015,Doha,Qatar
108,Marco Cecchinato,Yahor Yatsyk,2,0,Doha,2015,Doha,Qatar
109,Kimmer Coppejans,Ruben Bemelmans,2,0,Doha,2015,Doha,Qatar
110,Thiemo de Bakker,Mohamed Adnaoui,2,0,Doha,2015,Doha,Qatar
111,Niels Desein,Aslan Karatsev,2,1,Doha,2015,Doha,Qatar
112,Philipp Oswald,Abdullah Shannan Alharrasi,2,0,Doha,2015,Doha,Qatar
113,Artem Sitak,Issa Shanan Al Harrasi,2,0,Doha,2015,Doha,Qatar
114,Stan Wawrinka,Aljaz Bedene,2,0,Chennai,2015,Chennai,India
115,Stan Wawrinka,David Goffin,2,0,Chennai,2015,Chennai,India
116,Aljaz Bedene,Roberto Bautista Agut,2,1,Chennai,2015,Chennai,India
117,Stan Wawrinka,Gilles Muller,2,0,Chennai,2015,Chennai,India
118,Roberto Bautista Agut,Yen-Hsun Lu,2,0,Chennai,2015,Chennai,India
119,David Goffin,Andreas Haider-Maurer,2,0,Chennai,2015,Chennai,India
120,Aljaz Bedene,Guillermo Garcia-Lopez,2,1,Chennai,2015,Chennai,India
121,Stan Wawrinka,Borna Coric,2,0,Chennai,2015,Chennai,India
122,Aljaz Bedene,Feliciano Lopez,2,0,Chennai,2015,Chennai,India
123,Roberto Bautista Agut,Peter Gojowczyk,2,0,Chennai,2015,Chennai,India
124,David Goffin,Ricardas Berankis,2,1,Chennai,2015,Chennai,India
125,Guillermo Garcia-Lopez,Tatsuma Ito,2,1,Chennai,2015,Chennai,India
126,Yen-Hsun Lu,Pablo Carreno Busta,2,0,Chennai,2015,Chennai,India
127,Gilles Muller,Elias Ymer,2,0,Chennai,2015,Chennai,India
128,Andreas Haider-Maurer,Jiri Vesely,2,1,Chennai,2015,Chennai,India
129,Guillermo Garcia-Lopez,Evgeny Donskoy,2,1,Chennai,2015,Chennai,India
130,Yen-Hsun Lu,Somdev Devvarman,2,0,Chennai,2015,Chennai,India
131,Andreas Haider-Maurer,Marcel Granollers,2,1,Chennai,2015,Chennai,India
132,Gilles Muller,Edouard Roger-Vasselin,2,1,Chennai,2015,Chennai,India
133,Aljaz Bedene,Lukas Lacko,2,0,Chennai,2015,Chennai,India
134,Ricardas Berankis,Luca Vanni,2,1,Chennai,2015,Chennai,India
135,Pablo Carreno Busta,Alejandro Gonzalez,2,0,Chennai,2015,Chennai,India
136,Borna Coric,Robin Haase,2,0,Chennai,2015,Chennai,India
137,Peter Gojowczyk,Alejandro Falla,2,0,Chennai,2015,Chennai,India
138,Tatsuma Ito,Ramkumar Ramanathan,2,0,Chennai,2015,Chennai,India
139,Jiri Vesely,N Vijay Sundar Prashanth,2,0,Chennai,2015,Chennai,India
140,Elias Ymer,Igor Sijsling,2,1,Chennai,2015,Chennai,India
141,Luca Vanni,Damir Dzumhur,2,1,Chennai,2015,Chennai,India
142,Evgeny Donskoy,Sasikumar Mukund,2,0,Chennai,2015,Chennai,India
143,N Vijay Sundar Prashanth,Illya Marchenko,2,1,Chennai,2015,Chennai,India
144,Aljaz Bedene,Vinayak Sharma Kaza,2,0,Chennai,2015,Chennai,India
145,Damir Dzumhur,Michael Venus,2,0,Chennai,2015,Chennai,India
146,Vinayak Sharma Kaza,Alexander Kudryavtsev,2,1,Chennai,2015,Chennai,India
147,Evgeny Donskoy,Egor Gerasimov,2,1,Chennai,2015,Chennai,India
148,Illya Marchenko,Vishnu Vardhan,2,0,Chennai,2015,Chennai,India
149,Aljaz Bedene,Jeevan Nedunchezhiyan,2,0,Chennai,2015,Chennai,India
150,Luca Vanni,Thomas Fabbiano,2,0,Chennai,2015,Chennai,India
151,Sasikumar Mukund,Peter Torebko,2,1,Chennai,2015,Chennai,India
152,N Vijay Sundar Prashanth,Yuki Bhambri,2,1,Chennai,2015,Chennai,India
153,Alexander Kudryavtsev,Mohit Mayur Jayaprakash,2,1,Chennai,2015,Chennai,India
154,Evgeny Donskoy,Mate Pavic,2,0,Chennai,2015,Chennai,India
155,Illya Marchenko,Frantisek Cermak,2,0,Chennai,2015,Chennai,India
156,Aljaz Bedene,Sumit Nagal,2,0,Chennai,2015,Chennai,India
157,Luca Vanni,Raswant Ravi,2,0,Chennai,2015,Chennai,India
158,Peter Torebko,Oliver Marach,2,0,Chennai,2015,Chennai,India
159,Yuki Bhambri,Sidharth Rawat,2,0,Chennai,2015,Chennai,India
160,Thomas Fabbiano,Rahul robinson Manoah,2,0,Chennai,2015,Chennai,India
161,Egor Gerasimov,Akash Wagh,2,0,Chennai,2015,Chennai,India
162,Vinayak Sharma Kaza,Danai Udomchoke,2,1,Chennai,2015,Chennai,India
163,Sasikumar Mukund,Fahad Mohammed,2,0,Chennai,2015,Chennai,India
164,Jeevan Nedunchezhiyan,Lakshit Sood,2,0,Chennai,2015,Chennai,India
165,N Vijay Sundar Prashanth,Niki Kaliyanda Poonacha,2,0,Chennai,2015,Chennai,India
166,Vishnu Vardhan,Suraj R Prabodh,2,0,Chennai,2015,Chennai,India
167,Michael Venus,Chandril Sood,2,0,Chennai,2015,Chennai,India
168,Viktor Troicki,Mikhail Kukushkin,2,0,Sydney,2015,Sydney,Australia
169,Mikhail Kukushkin,Leonardo Mayer,2,0,Sydney,2015,Sydney,Australia
170,Viktor Troicki,Gilles Muller,2,0,Sydney,2015,Sydney,Australia
171,Leonardo Mayer,Julien Benneteau,2,0,Sydney,2015,Sydney,Australia
172,Mikhail Kukushkin,Juan Martin del Potro,2,0,Sydney,2015,Sydney,Australia
173,Gilles Muller,Bernard Tomic,2,0,Sydney,2015,Sydney,Australia
174,Viktor Troicki,Simone Bolelli,2,1,Sydney,2015,Sydney,Australia
175,Juan Martin del Potro,Fabio Fognini,2,1,Sydney,2015,Sydney,Australia
176,Simone Bolelli,David Goffin,2,0,Sydney,2015,Sydney,Australia
177,Bernard Tomic,Philipp Kohlschreiber,2,0,Sydney,2015,Sydney,Australia
178,Julien Benneteau,Vasek Pospisil,2,0,Sydney,2015,Sydney,Australia
179,Leonardo Mayer,Jerzy Janowicz,2,1,Sydney,2015,Sydney,Australia
180,Mikhail Kukushkin,Pablo Cuevas,2,0,Sydney,2015,Sydney,Australia
181,Gilles Muller,Jeremy Chardy,2,1,Sydney,2015,Sydney,Australia
182,Viktor Troicki,Pablo Andujar,2,1,Sydney,2015,Sydney,Australia
183,Leonardo Mayer,Benjamin Becker,2,0,Sydney,2015,Sydney,Australia
184,Pablo Cuevas,Nicolas Almagro,2,0,Sydney,2015,Sydney,Australia
185,Jeremy Chardy,Sam Querrey,2,0,Sydney,2015,Sydney,Australia
186,Viktor Troicki,Martin Klizan,2,0,Sydney,2015,Sydney,Australia
187,Pablo Andujar,Jarkko Nieminen,2,0,Sydney,2015,Sydney,Australia
188,Simone Bolelli,Marinko Matosevic,2,0,Sydney,2015,Sydney,Australia
189,Juan Martin del Potro,Sergiy Stakhovsky,2,0,Sydney,2015,Sydney,Australia
190,Jerzy Janowicz,Nick Kyrgios,2,1,Sydney,2015,Sydney,Australia
191,Mikhail Kukushkin,Denis Istomin,2,0,Sydney,2015,Sydney,Australia
192,Gilles Muller,Sam Groth,2,1,Sydney,2015,Sydney,Australia
193,Vasek Pospisil,Andreas Seppi,2,0,Sydney,2015,Sydney,Australia
194,Bernard Tomic,Igor Sijsling,2,0,Sydney,2015,Sydney,Australia
195,Jarkko Nieminen,Teymuraz Gabashvili,2,1,Sydney,2015,Sydney,Australia
196,Mikhail Kukushkin,John-Patrick Smith,2,0,Sydney,2015,Sydney,Australia
197,Igor Sijsling,Joao Souza,2,1,Sydney,2015,Sydney,Australia
198,Viktor Troicki,Stefano Travaglia,2,0,Sydney,2015,Sydney,Australia
199,Teymuraz Gabashvili,James McGee,2,0,Sydney,2015,Sydney,Australia
200,Mikhail Kukushkin,Denis Kudla,2,0,Sydney,2015,Sydney,Australia
201,John-Patrick Smith,Andrey Golubev,2,1,Sydney,2015,Sydney,Australia
202,Jarkko Nieminen,Ze Zhang,2,1,Sydney,2015,Sydney,Australia
203,Igor Sijsling,Tobias Kamke,2,0,Sydney,2015,Sydney,Australia
204,Joao Souza,Edouard Roger-Vasselin,2,1,Sydney,2015,Sydney,Australia
205,Stefano Travaglia,Yuichi Sugita,2,0,Sydney,2015,Sydney,Australia
206,Viktor Troicki,Nicolas Jarry,2,1,Sydney,2015,Sydney,Australia
207,Teymuraz Gabashvili,Hans Podlipnik-Castillo,2,1,Sydney,2015,Sydney,Australia
208,Mikhail Kukushkin,Christopher O'Connell,2,0,Sydney,2015,Sydney,Australia
209,Andrey Golubev,Niels Desein,2,0,Sydney,2015,Sydney,Australia
210,Jarkko Nieminen,Matt Reid,2,1,Sydney,2015,Sydney,Australia
211,Igor Sijsling,Gonzalo Lama,2,0,Sydney,2015,Sydney,Australia
212,Nicolas Jarry,Paul-Henri Mathieu,2,1,Sydney,2015,Sydney,Australia
213,Tobias Kamke,Roberto Marcora,2,0,Sydney,2015,Sydney,Australia
214,Denis Kudla,Blaz Kavcic,2,0,Sydney,2015,Sydney,Australia
215,James McGee,Horacio Zeballos,2,0,Sydney,2015,Sydney,Australia
216,Edouard Roger-Vasselin,Luke Saville,2,1,Sydney,2015,Sydney,Australia
217,John-Patrick Smith,Andrea Arnaboldi,2,1,Sydney,2015,Sydney,Australia
218,Joao Souza,Jonathan Eysseric,2,0,Sydney,2015,Sydney,Australia
219,Yuichi Sugita,Blake Mott,2,1,Sydney,2015,Sydney,Australia
220,Stefano Travaglia,Simon Ede,2,0,Sydney,2015,Sydney,Australia
221,Viktor Troicki,Enrique Lopez Perez,2,0,Sydney,2015,Sydney,Australia
222,Ze Zhang,Jacob Grills,2,0,Sydney,2015,Sydney,Australia
223,Jiri Vesely,Adrian Mannarino,2,0,Auckland,2015,Auckland,New Zealand
224,Jiri Vesely,Kevin Anderson,2,0,Auckland,2015,Auckland,New Zealand
225,Adrian Mannarino,Lucas Pouille,2,1,Auckland,2015,Auckland,New Zealand
226,Kevin Anderson,Steve Johnson,2,0,Auckland,2015,Auckland,New Zealand
227,Adrian Mannarino,Alejandro Falla,2,0,Auckland,2015,Auckland,New Zealand
228,Lucas Pouille,Albert Ramos-Vinolas,2,0,Auckland,2015,Auckland,New Zealand
229,Jiri Vesely,Donald Young,2,0,Auckland,2015,Auckland,New Zealand
230,Jiri Vesely,Ernests Gulbis,2,1,Auckland,2015,Auckland,New Zealand
231,Adrian Mannarino,Roberto Bautista Agut,2,0,Auckland,2015,Auckland,New Zealand
232,Kevin Anderson,Jan-Lennard Struff,2,0,Auckland,2015,Auckland,New Zealand
233,Steve Johnson,Pablo Carreno Busta,2,1,Auckland,2015,Auckland,New Zealand
234,Albert Ramos-Vinolas,Yen-Hsun Lu,2,0,Auckland,2015,Auckland,New Zealand
235,Alejandro Falla,Kenny De Schepper,2,0,Auckland,2015,Auckland,New Zealand
236,Lucas Pouille,Michael Venus,2,0,Auckland,2015,Auckland,New Zealand
237,Donald Young,Diego Schwartzman,2,1,Auckland,2015,Auckland,New Zealand
238,Kenny De Schepper,Santiago Giraldo,2,0,Auckland,2015,Auckland,New Zealand
239,Diego Schwartzman,Guillermo Garcia-Lopez,2,1,Auckland,2015,Auckland,New Zealand
240,Steve Johnson,Joao Sousa,2,0,Auckland,2015,Auckland,New Zealand
241,Yen-Hsun Lu,Juan Monaco,2,1,Auckland,2015,Auckland,New Zealand
242,Pablo Carreno Busta,Borna Coric,2,0,Auckland,2015,Auckland,New Zealand
243,Alejandro Falla,Rubin Statham,2,0,Auckland,2015,Auckland,New Zealand
244,Adrian Mannarino,Federico Delbonis,2,0,Auckland,2015,Auckland,New Zealand
245,Albert Ramos-Vinolas,Paolo Lorenzi,2,0,Auckland,2015,Auckland,New Zealand
246,Jan-Lennard Struff,Dominic Thiem,2,1,Auckland,2015,Auckland,New Zealand
247,Michael Venus,Alejandro Gonzalez,2,1,Auckland,2015,Auckland,New Zealand
248,Jiri Vesely,Thomaz Bellucci,2,0,Auckland,2015,Auckland,New Zealand
249,Donald Young,Go Soeda,2,1,Auckland,2015,Auckland,New Zealand
250,Jiri Vesely,Lucas Pouille,2,0,Auckland,2015,Auckland,New Zealand
251,Go Soeda,Jules Marie,2,1,Auckland,2015,Auckland,New Zealand
252,Kenny De Schepper,Alejandro Falla,2,0,Auckland,2015,Auckland,New Zealand
253,Alejandro Gonzalez,Stephane Robert,2,1,Auckland,2015,Auckland,New Zealand
254,Jiri Vesely,Thomas Fabbiano,2,0,Auckland,2015,Auckland,New Zealand
255,Alejandro Falla,Blaz Rola,2,0,Auckland,2015,Auckland,New Zealand
256,Jules Marie,Robin Haase,2,0,Auckland,2015,Auckland,New Zealand
257,Stephane Robert,Lukas Lacko,2,0,Auckland,2015,Auckland,New Zealand
258,Go Soeda,Liang-Chi Huang,2,0,Auckland,2015,Auckland,New Zealand
259,Lucas Pouille,Maximo Gonzalez,2,0,Auckland,2015,Auckland,New Zealand
260,Kenny De Schepper,Marcus Daniell,2,1,Auckland,2015,Auckland,New Zealand
261,Alejandro Gonzalez,Oliver Marach,2,0,Auckland,2015,Auckland,New Zealand
262,Alejandro Gonzalez,Alexander Klintcharov,2,0,Auckland,2015,Auckland,New Zealand
263,Marcus Daniell,Andrew Carter,2,0,Auckland,2015,Auckland,New Zealand
264,Thomas Fabbiano,Mate Pavic,2,1,Auckland,2015,Auckland,New Zealand
265,Alejandro Falla,Finn Tearney,2,1,Auckland,2015,Auckland,New Zealand
266,Liang-Chi Huang,Ben McLachlan,2,1,Auckland,2015,Auckland,New Zealand
267,Oliver Marach,Frank Moser,2,0,Auckland,2015,Auckland,New Zealand
268,Jules Marie,Luca Vanni,2,1,Auckland,2015,Auckland,New Zealand
269,Lucas Pouille,Bruno Soares,2,0,Auckland,2015,Auckland,New Zealand
270,Stephane Robert,Ti Chen,2,0,Auckland,2015,Auckland,New Zealand
271,Novak Djokovic,Andy Murray,3,1,Australian Open,2015,Melbourne,Australia
272,Novak Djokovic,Stan Wawrinka,3,2,Australian Open,2015,Melbourne,Australia
273,Andy Murray,Tomas Berdych,3,1,Australian Open,2015,Melbourne,Australia
274,Novak Djokovic,Milos Raonic,2,1,Australian Open,2015,Melbourne,Australia
275,Tomas Berdych,Rafael Nadal,2,1,Australian Open,2015,Melbourne,Australia
276,Stan Wawrinka,Kei Nishikori,2,1,Australian Open,2015,Melbourne,Australia
277,Andy Murray,Nick Kyrgios,2,1,Australian Open,2015,Melbourne,Australia
278,Novak Djokovic,Gilles Muller,2,1,Australian Open,2015,Melbourne,Australia
279,Rafael Nadal,Kevin Anderson,2,1,Australian Open,2015,Melbourne,Australia
280,Stan Wawrinka,Guillermo Garcia-Lopez,3,1,Australian Open,2015,Melbourne,Australia
281,Kei Nishikori,David Ferrer,2,1,Australian Open,2015,Melbourne,Australia
282,Andy Murray,Grigor Dimitrov,3,1,Australian Open,2015,Melbourne,Australia
283,Tomas Berdych,Bernard Tomic,2,1,Australian Open,2015,Melbourne,Australia
284,Milos Raonic,Feliciano Lopez,3,2,Australian Open,2015,Melbourne,Australia
285,Nick Kyrgios,Andreas Seppi,3,2,Australian Open,2015,Melbourne,Australia
286,Novak Djokovic,Fernando Verdasco,2,1,Australian Open,2015,Melbourne,Australia
287,Andreas Seppi,Roger Federer,3,1,Australian Open,2015,Melbourne,Australia
288,Rafael Nadal,Dudi Sela,2,1,Australian Open,2015,Melbourne,Australia
289,Stan Wawrinka,Jarkko Nieminen,2,1,Australian Open,2015,Melbourne,Australia
290,Kei Nishikori,Steve Johnson,3,1,Australian Open,2015,Melbourne,Australia
291,Andy Murray,Joao Sousa,2,1,Australian Open,2015,Melbourne,Australia
292,Tomas Berdych,Viktor Troicki,2,1,Australian Open,2015,Melbourne,Australia
293,Milos Raonic,Benjamin Becker,2,1,Australian Open,2015,Melbourne,Australia
294,David Ferrer,Gilles Simon,3,1,Australian Open,2015,Melbourne,Australia
295,Grigor Dimitrov,Marcos Baghdatis,3,2,Australian Open,2015,Melbourne,Australia
296,Feliciano Lopez,Jerzy Janowicz,2,1,Australian Open,2015,Melbourne,Australia
297,Kevin Anderson,Richard Gasquet,2,1,Australian Open,2015,Melbourne,Australia
298,Gilles Muller,John Isner,2,1,Australian Open,2015,Melbourne,Australia
299,Guillermo Garcia-Lopez,Vasek Pospisil,2,1,Australian Open,2015,Melbourne,Australia
300,Nick Kyrgios,Malek Jaziri,2,1,Australian Open,2015,Melbourne,Australia
301,Bernard Tomic,Sam Groth,2,1,Australian Open,2015,Melbourne,Australia
302,Novak Djokovic,Andrey Kuznetsov,2,1,Australian Open,2015,Melbourne,Australia
303,Roger Federer,Simone Bolelli,3,1,Australian Open,2015,Melbourne,Australia
304,Rafael Nadal,Tim Smyczek,3,2,Australian Open,2015,Melbourne,Australia
305,Stan Wawrinka,Marius Copil,2,1,Australian Open,2015,Melbourne,Australia
306,Kei Nishikori,Ivan Dodig,3,1,Australian Open,2015,Melbourne,Australia
307,Andy Murray,Marinko Matosevic,2,1,Australian Open,2015,Melbourne,Australia
308,Tomas Berdych,Jurgen Melzer,2,1,Australian Open,2015,Melbourne,Australia
309,Milos Raonic,Donald Young,2,1,Australian Open,2015,Melbourne,Australia
310,David Ferrer,Sergiy Stakhovsky,3,1,Australian Open,2015,Melbourne,Australia
311,Grigor Dimitrov,Lukas Lacko,3,1,Australian Open,2015,Melbourne,Australia
312,Feliciano Lopez,Adrian Mannarino,3,1,Australian Open,2015,Melbourne,Australia
313,Gilles Muller,Roberto Bautista Agut,3,1,Australian Open,2015,Melbourne,Australia
314,Kevin Anderson,Ricardas Berankis,2,1,Australian Open,2015,Melbourne,Australia
315,Jerzy Janowicz,Gael Monfils,3,2,Australian Open,2015,Melbourne,Australia
316,Gilles Simon,Marcel Granollers,2,1,Australian Open,2015,Melbourne,Australia
317,John Isner,Andreas Haider-Maurer,3,1,Australian Open,2015,Melbourne,Australia
318,Marcos Baghdatis,David Goffin,3,1,Australian Open,2015,Melbourne,Australia
319,Bernard Tomic,Philipp Kohlschreiber,3,1,Australian Open,2015,Melbourne,Australia
320,Nick Kyrgios,Ivo Karlovic,3,1,Australian Open,2015,Melbourne,Australia
321,Richard Gasquet,James Duckworth,2,1,Australian Open,2015,Melbourne,Australia
322,Viktor Troicki,Leonardo Mayer,3,1,Australian Open,2015,Melbourne,Australia
323,Dudi Sela,Lukas Rosol,3,1,Australian Open,2015,Melbourne,Australia
324,Andreas Seppi,Jeremy Chardy,3,1,Australian Open,2015,Melbourne,Australia
325,Steve Johnson,Santiago Giraldo,2,1,Australian Open,2015,Melbourne,Australia
