,Home,Away,Home Score,Away Score,Tournament,Year,City,Country
79,Brian Fairlie,Randy Jones,2,1,Auckland,1975,Auckland,Empty
80,Ray Ruffels,Greg Halder,2,1,Auckland,1975,Auckland,Empty
81,Syd Ball,Paul Thompson,2,1,Auckland,1975,Auckland,Empty
82,Bob Carmichael,Fred Whitaker,3,1,Auckland,1975,Auckland,Empty
83,Scott Carnahan,Richard Lewis,2,1,Auckland,1975,Auckland,Empty
84,Dick Crealy,Peter Langsford,2,1,Auckland,1975,Auckland,Empty
85,Steve Docherty,Wayne Cowley,2,1,Auckland,1975,Auckland,Empty
86,Joaquin Loyo-Mayo,Chris Lewis,3,1,Auckland,1975,Auckland,Empty
87,Mike Machette,Joao Soares,2,1,Auckland,1975,Auckland,Empty
88,Graham Oliver,Mike Prineas,2,1,Auckland,1975,Auckland,Empty
89,Russell Simpson,Leo Palin,2,1,Auckland,1975,Auckland,Empty
90,Jeff Simpson,Tony Parun,2,1,Auckland,1975,Auckland,Empty
91,Matti Timonen,Martin Robinson,3,1,Auckland,1975,Auckland,Empty
92,Gerard Wimmer,Garry Slater,2,1,Auckland,1975,Auckland,Empty
93,Rod Laver,Arthur Ashe,2,0,San Juan WCT,1975,San Juan,Empty
94,Arthur Ashe,Bjorn Borg,2,0,San Juan WCT,1975,San Juan,Empty
95,Rod Laver,Jeff Borowiak,2,0,San Juan WCT,1975,San Juan,Empty
96,Arthur Ashe,Andrew Pattison,2,0,San Juan WCT,1975,San Juan,Empty
97,Bjorn Borg,Cliff Drysdale,2,1,San Juan WCT,1975,San Juan,Empty
98,Jeff Borowiak,Dick Stockton,2,0,San Juan WCT,1975,San Juan,Empty
99,Rod Laver,Alex Metreveli,2,0,San Juan WCT,1975,San Juan,Empty
100,Arthur Ashe,Marty Riessen,2,1,San Juan WCT,1975,San Juan,Empty
101,Bjorn Borg,Eddie Dibbs,2,0,San Juan WCT,1975,San Juan,Empty
102,Jeff Borowiak,Stan Smith,2,1,San Juan WCT,1975,San Juan,Empty
103,Cliff Drysdale,Roscoe Tanner,2,0,San Juan WCT,1975,San Juan,Empty
104,Rod Laver,Cliff Richey,2,1,San Juan WCT,1975,San Juan,Empty
105,Alex Metreveli,Mark Cox,2,0,San Juan WCT,1975,San Juan,Empty
106,Andrew Pattison,Tom Okker,2,1,San Juan WCT,1975,San Juan,Empty
107,Dick Stockton,Tom Gorman,2,0,San Juan WCT,1975,San Juan,Empty
108,Jimmy Connors,Karl Meiler,2,0,Bahamas,1975,Nassau,Empty
109,Jimmy Connors,Trey Waltke,2,0,Bahamas,1975,Nassau,Empty
110,Karl Meiler,Juan Gisbert Sr,2,0,Bahamas,1975,Nassau,Empty
111,Jimmy Connors,Jurgen Fassbender,2,0,Bahamas,1975,Nassau,Empty
112,Juan Gisbert Sr,Sandy Mayer,2,1,Bahamas,1975,Nassau,Empty
113,Karl Meiler,Gene Mayer,2,0,Bahamas,1975,Nassau,Empty
114,Trey Waltke,Clark Graebner,2,1,Bahamas,1975,Nassau,Empty
115,Jimmy Connors,John Feaver,2,1,Bahamas,1975,Nassau,Empty
116,Jurgen Fassbender,Rolf Thung,2,0,Bahamas,1975,Nassau,Empty
117,Juan Gisbert Sr,Jeff Austin,2,0,Bahamas,1975,Nassau,Empty
118,Clark Graebner,Ion Tiriac,2,0,Bahamas,1975,Nassau,Empty
119,Gene Mayer,Roger Taylor,2,0,Bahamas,1975,Nassau,Empty
120,Sandy Mayer,Charles Owens,2,0,Bahamas,1975,Nassau,Empty
121,Karl Meiler,Vitas Gerulaitis,2,0,Bahamas,1975,Nassau,Empty
122,Trey Waltke,Wojtek Fibak,2,0,Bahamas,1975,Nassau,Empty
123,Jeff Austin,Ian Fletcher,2,0,Bahamas,1975,Nassau,Empty
124,Jimmy Connors,Viorel Marcu,2,0,Bahamas,1975,Nassau,Empty
125,Jurgen Fassbender,Larry Rolle,2,0,Bahamas,1975,Nassau,Empty
126,John Feaver,Bertram Knowles,2,0,Bahamas,1975,Nassau,Empty
127,Vitas Gerulaitis,Bob Adams,2,0,Bahamas,1975,Nassau,Empty
128,Juan Gisbert Sr,Jiri Granat,2,0,Bahamas,1975,Nassau,Empty
129,Clark Graebner,John Antonas,2,0,Bahamas,1975,Nassau,Empty
130,Gene Mayer,Roger Dowdeswell,2,0,Bahamas,1975,Nassau,Empty
131,Sandy Mayer,D. Richard Russell,2,0,Bahamas,1975,Nassau,Empty
132,Karl Meiler,Leo Rolle,2,0,Bahamas,1975,Nassau,Empty
133,Charles Owens,Pavel Slozil,2,1,Bahamas,1975,Nassau,Empty
134,Roger Taylor,Spencer Segura,2,0,Bahamas,1975,Nassau,Empty
135,Rolf Thung,Gene Scott,2,1,Bahamas,1975,Nassau,Empty
136,Ion Tiriac,Ian Crookenden,2,1,Bahamas,1975,Nassau,Empty
137,Trey Waltke,Zeljko Franulovic,2,0,Bahamas,1975,Nassau,Empty
138,Brian Gottfried,Allan Stone,2,1,Baltimore,1975,Baltimore,Empty
139,Brian Gottfried,Tony Roche,2,0,Baltimore,1975,Baltimore,Empty
140,Allan Stone,Robert Lutz,2,0,Baltimore,1975,Baltimore,Empty
141,Tony Roche,Steve Krulevitz,2,1,Baltimore,1975,Baltimore,Empty
142,Brian Gottfried,Ray Ruffels,2,0,Baltimore,1975,Baltimore,Empty
143,Robert Lutz,Erik Van Dillen,2,0,Baltimore,1975,Baltimore,Empty
144,Allan Stone,Paul Gerken,2,1,Baltimore,1975,Baltimore,Empty
145,Robert Lutz,Harold Solomon,2,0,Baltimore,1975,Baltimore,Empty
146,Tony Roche,Dick Crealy,2,0,Baltimore,1975,Baltimore,Empty
147,Brian Gottfried,Barry Phillips-Moore,2,0,Baltimore,1975,Baltimore,Empty
148,Paul Gerken,Ross Case,2,1,Baltimore,1975,Baltimore,Empty
149,Steve Krulevitz,Ismail El Shafei,2,1,Baltimore,1975,Baltimore,Empty
150,Ray Ruffels,Kim Warwick,2,0,Baltimore,1975,Baltimore,Empty
151,Allan Stone,Frew McMillan,2,0,Baltimore,1975,Baltimore,Empty
152,Erik Van Dillen,Geoff Masters,2,0,Baltimore,1975,Baltimore,Empty
153,Marty Riessen,Vitas Gerulaitis,3,2,Philadelphia WCT,1975,Philadelphia,Empty
154,Marty Riessen,Jaime Fillol Sr.,2,1,Philadelphia WCT,1975,Philadelphia,Empty
155,Vitas Gerulaitis,John Alexander,2,1,Philadelphia WCT,1975,Philadelphia,Empty
156,Jaime Fillol Sr.,Arthur Ashe,2,1,Philadelphia WCT,1975,Philadelphia,Empty
157,Marty Riessen,Tony Roche,2,0,Philadelphia WCT,1975,Philadelphia,Empty
158,John Alexander,Cliff Richey,2,0,Philadelphia WCT,1975,Philadelphia,Empty
159,Vitas Gerulaitis,Paul Gerken,2,0,Philadelphia WCT,1975,Philadelphia,Empty
160,Arthur Ashe,Brian Gottfried,2,1,Philadelphia WCT,1975,Philadelphia,Empty
161,Marty Riessen,Syd Ball,2,0,Philadelphia WCT,1975,Philadelphia,Empty
162,Vitas Gerulaitis,Raul Ramirez,2,0,Philadelphia WCT,1975,Philadelphia,Empty
163,Jaime Fillol Sr.,Tom Gorman,2,1,Philadelphia WCT,1975,Philadelphia,Empty
164,Cliff Richey,Robert Lutz,2,1,Philadelphia WCT,1975,Philadelphia,Empty
165,John Alexander,Ismail El Shafei,2,0,Philadelphia WCT,1975,Philadelphia,Empty
166,Paul Gerken,Sandy Mayer,2,1,Philadelphia WCT,1975,Philadelphia,Empty
167,Tony Roche,Phil Dent,2,1,Philadelphia WCT,1975,Philadelphia,Empty
168,Robert Lutz,Bjorn Borg,2,0,Philadelphia WCT,1975,Philadelphia,Empty
169,Vitas Gerulaitis,Tom Okker,2,1,Philadelphia WCT,1975,Philadelphia,Empty
170,Arthur Ashe,Jeff Borowiak,2,1,Philadelphia WCT,1975,Philadelphia,Empty
171,Ismail El Shafei,Stan Smith,2,0,Philadelphia WCT,1975,Philadelphia,Empty
172,Marty Riessen,Dick Dell,2,0,Philadelphia WCT,1975,Philadelphia,Empty
173,Syd Ball,Roscoe Tanner,2,1,Philadelphia WCT,1975,Philadelphia,Empty
174,Tony Roche,Harold Solomon,2,0,Philadelphia WCT,1975,Philadelphia,Empty
175,Brian Gottfried,Cliff Drysdale,2,1,Philadelphia WCT,1975,Philadelphia,Empty
176,Raul Ramirez,Charlie Pasarell,2,1,Philadelphia WCT,1975,Philadelphia,Empty
177,Tom Gorman,Brian Fairlie,2,0,Philadelphia WCT,1975,Philadelphia,Empty
178,John Alexander,Eddie Dibbs,2,0,Philadelphia WCT,1975,Philadelphia,Empty
179,Cliff Richey,Ray Ruffels,2,1,Philadelphia WCT,1975,Philadelphia,Empty
180,Phil Dent,Allan Stone,2,0,Philadelphia WCT,1975,Philadelphia,Empty
181,Jaime Fillol Sr.,Raymond Moore,2,0,Philadelphia WCT,1975,Philadelphia,Empty
182,Paul Gerken,Vijay Amritraj,2,1,Philadelphia WCT,1975,Philadelphia,Empty
183,Sandy Mayer,Dick Crealy,2,0,Philadelphia WCT,1975,Philadelphia,Empty
184,Bjorn Borg,Teimuraz Kakulia,2,0,Philadelphia WCT,1975,Philadelphia,Empty
185,Phil Dent,Rod Laver,2,1,Philadelphia WCT,1975,Philadelphia,Empty
186,Raymond Moore,Guillermo Vilas,0,0,Philadelphia WCT,1975,Philadelphia,Empty
187,Tom Okker,Jose Higueras,2,0,Philadelphia WCT,1975,Philadelphia,Empty
188,Arthur Ashe,Grover Raz Reid,2,0,Philadelphia WCT,1975,Philadelphia,Empty
189,Stan Smith,Jeff Simpson,2,0,Philadelphia WCT,1975,Philadelphia,Empty
190,Marty Riessen,Anand Amritraj,2,0,Philadelphia WCT,1975,Philadelphia,Empty
191,Roscoe Tanner,Patrice Dominguez,2,1,Philadelphia WCT,1975,Philadelphia,Empty
192,Sandy Mayer,Dick Stockton,2,1,Philadelphia WCT,1975,Philadelphia,Empty
193,Harold Solomon,Graham Stilwell,2,0,Philadelphia WCT,1975,Philadelphia,Empty
194,Cliff Drysdale,Milan Holecek,2,1,Philadelphia WCT,1975,Philadelphia,Empty
195,Raul Ramirez,Bob Giltinan,2,1,Philadelphia WCT,1975,Philadelphia,Empty
196,Tom Gorman,Hans Kary,2,0,Philadelphia WCT,1975,Philadelphia,Empty
197,Eddie Dibbs,Adriano Panatta,2,0,Philadelphia WCT,1975,Philadelphia,Empty
198,Cliff Richey,Kjell Johansson,2,1,Philadelphia WCT,1975,Philadelphia,Empty
199,John Alexander,Jiri Hrebec,2,0,Philadelphia WCT,1975,Philadelphia,Empty
200,Vijay Amritraj,Buster C. Mottram,2,0,Philadelphia WCT,1975,Philadelphia,Empty
201,Syd Ball,Ivan Molina,2,0,Philadelphia WCT,1975,Philadelphia,Empty
202,Jeff Borowiak,Mark Cox,2,1,Philadelphia WCT,1975,Philadelphia,Empty
203,Dick Crealy,Corrado Barazzutti,2,1,Philadelphia WCT,1975,Philadelphia,Empty
204,Dick Dell,Mike Estep,2,1,Philadelphia WCT,1975,Philadelphia,Empty
205,Ismail El Shafei,Jim McManus,2,0,Philadelphia WCT,1975,Philadelphia,Empty
206,Brian Fairlie,Onny Parun,2,0,Philadelphia WCT,1975,Philadelphia,Empty
207,Jaime Fillol Sr.,Thomaz Koch,0,0,Philadelphia WCT,1975,Philadelphia,Empty
208,Paul Gerken,Sherwood Stewart,2,0,Philadelphia WCT,1975,Philadelphia,Empty
209,Vitas Gerulaitis,Ove Nils Bengtson,2,1,Philadelphia WCT,1975,Philadelphia,Empty
210,Brian Gottfried,Haroon Rahim,2,1,Philadelphia WCT,1975,Philadelphia,Empty
211,Robert Lutz,Erik Van Dillen,2,1,Philadelphia WCT,1975,Philadelphia,Empty
212,Charlie Pasarell,John Lloyd,2,0,Philadelphia WCT,1975,Philadelphia,Empty
213,Tony Roche,Colin Dibley,2,0,Philadelphia WCT,1975,Philadelphia,Empty
214,Ray Ruffels,Andrew Pattison,2,0,Philadelphia WCT,1975,Philadelphia,Empty
215,Allan Stone,Barry Phillips-Moore,2,0,Philadelphia WCT,1975,Philadelphia,Empty
216,Arthur Ashe,Tom Edlefsen,2,0,Philadelphia WCT,1975,Philadelphia,Empty
217,Sherwood Stewart,Alex Metreveli,2,1,Philadelphia WCT,1975,Philadelphia,Empty
218,Dick Stockton,Ross Case,2,0,Philadelphia WCT,1975,Philadelphia,Empty
219,Cliff Drysdale,Antonio Zugarelli,0,0,Philadelphia WCT,1975,Philadelphia,Empty
220,Vijay Amritraj,Nikola Pilic,0,0,Philadelphia WCT,1975,Philadelphia,Empty
221,Corrado Barazzutti,Steve Krulevitz,2,0,Philadelphia WCT,1975,Philadelphia,Empty
222,Jeff Borowiak,Pierre Barthes,0,0,Philadelphia WCT,1975,Philadelphia,Empty
223,Mark Cox,Gerald Battrick,2,0,Philadelphia WCT,1975,Philadelphia,Empty
224,Dick Crealy,Zeljko Franulovic,2,1,Philadelphia WCT,1975,Philadelphia,Empty
225,Brian Fairlie,Hans-Jurgen Pohmann,2,0,Philadelphia WCT,1975,Philadelphia,Empty
226,Paul Gerken,Bob Hewitt,2,1,Philadelphia WCT,1975,Philadelphia,Empty
227,Brian Gottfried,Geoff Masters,2,0,Philadelphia WCT,1975,Philadelphia,Empty
228,Milan Holecek,Robert Maud,2,1,Philadelphia WCT,1975,Philadelphia,Empty
229,John Lloyd,Roy Emerson,2,0,Philadelphia WCT,1975,Philadelphia,Empty
230,Sandy Mayer,Paolo Bertolucci,2,0,Philadelphia WCT,1975,Philadelphia,Empty
231,Buster C. Mottram,Jun Kamiwazumi,2,0,Philadelphia WCT,1975,Philadelphia,Empty
232,Onny Parun,Patricio Cornejo,0,0,Philadelphia WCT,1975,Philadelphia,Empty
233,Charlie Pasarell,Balazs Taroczy,0,0,Philadelphia WCT,1975,Philadelphia,Empty
234,Haroon Rahim,Vladimir Zednik,0,0,Philadelphia WCT,1975,Philadelphia,Empty
235,Grover Raz Reid,Frew McMillan,2,0,Philadelphia WCT,1975,Philadelphia,Empty
236,Jimmy Connors,Billy Martin,2,0,Birmingham,1975,Birmingham,Empty
237,Jimmy Connors,Karl Meiler,2,1,Birmingham,1975,Birmingham,Empty
238,Billy Martin,Jurgen Fassbender,2,0,Birmingham,1975,Birmingham,Empty
239,Jimmy Connors,Jeff Austin,2,0,Birmingham,1975,Birmingham,Empty
240,Billy Martin,Juan Gisbert Sr,2,1,Birmingham,1975,Birmingham,Empty
241,Jurgen Fassbender,John Feaver,2,1,Birmingham,1975,Birmingham,Empty
242,Karl Meiler,Roger Taylor,2,1,Birmingham,1975,Birmingham,Empty
243,Jimmy Connors,Pavel Slozil,2,0,Birmingham,1975,Birmingham,Empty
244,Juan Gisbert Sr,Wojtek Fibak,2,1,Birmingham,1975,Birmingham,Empty
245,Jeff Austin,Roger Dowdeswell,2,1,Birmingham,1975,Birmingham,Empty
246,Jurgen Fassbender,John Yuill,2,0,Birmingham,1975,Birmingham,Empty
247,John Feaver,Ion Tiriac,2,1,Birmingham,1975,Birmingham,Empty
248,Billy Martin,Spencer Segura,2,0,Birmingham,1975,Birmingham,Empty
249,Karl Meiler,Rolf Thung,2,0,Birmingham,1975,Birmingham,Empty
250,Roger Taylor,Ian Fletcher,2,0,Birmingham,1975,Birmingham,Empty
251,Jeff Austin,Mike Cahill,2,0,Birmingham,1975,Birmingham,Empty
252,Jurgen Fassbender,Bruce Manson,2,0,Birmingham,1975,Birmingham,Empty
253,John Feaver,Charles Owens,2,1,Birmingham,1975,Birmingham,Empty
254,Ian Fletcher,Jiri Granat,2,0,Birmingham,1975,Birmingham,Empty
255,Karl Meiler,Viorel Marcu,2,0,Birmingham,1975,Birmingham,Empty
256,Spencer Segura,Hugh Thomson,2,1,Birmingham,1975,Birmingham,Empty
257,Roger Taylor,Ian Crookenden,2,1,Birmingham,1975,Birmingham,Empty
258,Rolf Thung,Pat Dupre,2,0,Birmingham,1975,Birmingham,Empty
259,Ion Tiriac,Jan Pisecky,2,1,Birmingham,1975,Birmingham,Empty
260,John Yuill,Trey Waltke,2,0,Birmingham,1975,Birmingham,Empty
261,Bjorn Borg,Arthur Ashe,2,1,Richmond-WCT,1975,Richmond,Empty
262,Bjorn Borg,Kim Warwick,2,0,Richmond-WCT,1975,Richmond,Empty
263,Arthur Ashe,Tom Okker,2,0,Richmond-WCT,1975,Richmond,Empty
264,Bjorn Borg,Jeff Borowiak,2,1,Richmond-WCT,1975,Richmond,Empty
265,Tom Okker,Bob Giltinan,2,0,Richmond-WCT,1975,Richmond,Empty
266,Arthur Ashe,Adriano Panatta,2,1,Richmond-WCT,1975,Richmond,Empty
267,Kim Warwick,Onny Parun,2,0,Richmond-WCT,1975,Richmond,Empty
268,Bjorn Borg,Jose Higueras,2,1,Richmond-WCT,1975,Richmond,Empty
269,Tom Okker,Kjell Johansson,2,0,Richmond-WCT,1975,Richmond,Empty
270,Arthur Ashe,Zeljko Franulovic,2,0,Richmond-WCT,1975,Richmond,Empty
271,Onny Parun,Paolo Bertolucci,2,0,Richmond-WCT,1975,Richmond,Empty
272,Adriano Panatta,Bob Hewitt,2,1,Richmond-WCT,1975,Richmond,Empty
273,Kim Warwick,Bruce Manson,2,1,Richmond-WCT,1975,Richmond,Empty
274,Jeff Borowiak,Grover Raz Reid,2,0,Richmond-WCT,1975,Richmond,Empty
275,Bob Giltinan,Patrice Dominguez,2,0,Richmond-WCT,1975,Richmond,Empty
276,Bjorn Borg,Hans Kary,2,0,Richmond-WCT,1975,Richmond,Empty
277,Tom Okker,Ferdi Taygan,2,0,Richmond-WCT,1975,Richmond,Empty
278,Arthur Ashe,Corrado Barazzutti,2,0,Richmond-WCT,1975,Richmond,Empty
279,Onny Parun,Steve Krulevitz,2,1,Richmond-WCT,1975,Richmond,Empty
280,Adriano Panatta,Buster C. Mottram,2,1,Richmond-WCT,1975,Richmond,Empty
281,Jeff Borowiak,Hans-Jurgen Pohmann,2,0,Richmond-WCT,1975,Richmond,Empty
282,Bob Giltinan,Frew McMillan,2,1,Richmond-WCT,1975,Richmond,Empty
283,Kim Warwick,John Lloyd,2,0,Richmond-WCT,1975,Richmond,Empty
284,Paolo Bertolucci,Dick Crealy,2,1,Richmond-WCT,1975,Richmond,Empty
285,Patrice Dominguez,Dick Dell,2,0,Richmond-WCT,1975,Richmond,Empty
286,Zeljko Franulovic,Fred McNair IV,2,1,Richmond-WCT,1975,Richmond,Empty
287,Bob Hewitt,Billy Martin,2,0,Richmond-WCT,1975,Richmond,Empty
288,Jose Higueras,Syd Ball,2,0,Richmond-WCT,1975,Richmond,Empty
289,Kjell Johansson,John Whitlinger,2,0,Richmond-WCT,1975,Richmond,Empty
290,Bruce Manson,Tony Roche,0,0,Richmond-WCT,1975,Richmond,Empty
291,Grover Raz Reid,Sherwood Stewart,2,0,Richmond-WCT,1975,Richmond,Empty
292,Brian Gottfried,Geoff Masters,2,1,Dayton,1975,Dayton,Empty
293,Brian Gottfried,Teimuraz Kakulia,2,0,Dayton,1975,Dayton,Empty
294,Geoff Masters,Erik Van Dillen,2,0,Dayton,1975,Dayton,Empty
295,Brian Gottfried,Phil Dent,2,1,Dayton,1975,Dayton,Empty
296,Erik Van Dillen,Harold Solomon,2,1,Dayton,1975,Dayton,Empty
297,Teimuraz Kakulia,John Alexander,2,1,Dayton,1975,Dayton,Empty
298,Geoff Masters,Allan Stone,2,0,Dayton,1975,Dayton,Empty
299,Brian Gottfried,Raymond Moore,2,0,Dayton,1975,Dayton,Empty
300,Geoff Masters,Alex Metreveli,2,0,Dayton,1975,Dayton,Empty
301,Harold Solomon,Ivan Molina,2,0,Dayton,1975,Dayton,Empty
302,John Alexander,Paul Gerken,2,1,Dayton,1975,Dayton,Empty
303,Phil Dent,Ray Ruffels,2,1,Dayton,1975,Dayton,Empty
304,Teimuraz Kakulia,Ross Case,2,0,Dayton,1975,Dayton,Empty
305,Allan Stone,John Peckskamp,2,0,Dayton,1975,Dayton,Empty
306,Erik Van Dillen,Ismail El Shafei,2,0,Dayton,1975,Dayton,Empty
307,Roger Taylor,Vitas Gerulaitis,2,0,Roanoke,1975,Roanoke,Empty
308,Vitas Gerulaitis,Karl Meiler,2,1,Roanoke,1975,Roanoke,Empty
309,Roger Taylor,Jurgen Fassbender,2,1,Roanoke,1975,Roanoke,Empty
310,Karl Meiler,Clark Graebner,2,1,Roanoke,1975,Roanoke,Empty
311,Jurgen Fassbender,Ian Fletcher,2,0,Roanoke,1975,Roanoke,Empty
312,Roger Taylor,Sandy Mayer,2,0,Roanoke,1975,Roanoke,Empty
313,Vitas Gerulaitis,Charles Owens,2,0,Roanoke,1975,Roanoke,Empty
314,Karl Meiler,John Yuill,2,1,Roanoke,1975,Roanoke,Empty
315,Jurgen Fassbender,Jiri Granat,2,0,Roanoke,1975,Roanoke,Empty
316,Sandy Mayer,Jan Pisecky,2,0,Roanoke,1975,Roanoke,Empty
317,Ian Fletcher,Trey Waltke,2,0,Roanoke,1975,Roanoke,Empty
318,Vitas Gerulaitis,Gene Mayer,2,0,Roanoke,1975,Roanoke,Empty
319,Clark Graebner,Viorel Marcu,2,0,Roanoke,1975,Roanoke,Empty
320,Charles Owens,Roger Dowdeswell,2,1,Roanoke,1975,Roanoke,Empty
