,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
269,Brisbane,Brisbane,Australia,2018.12.31,"$589,680",Kei Nishikori,Hard,/en/scores/archive/brisbane/339/2019/results,2019
270,Pune,Pune,India,2018.12.31,"$589,680",Kevin Anderson,Hard,/en/scores/archive/pune/891/2019/results,2019
271,Sydney,Sydney,Australia,2019.01.06,"$589,680",Alex de Minaur,Hard,/en/scores/archive/sydney/338/2019/results,2019
272,Auckland,Auckland,New Zealand,2019.01.07,"$589,680",Tennys Sandgren,Hard,/en/scores/archive/auckland/301/2019/results,2019
273,Australian Open,Melbourne,Australia,2019.01.14,"A$29,687,000",Novak Djokovic,Hard,/en/scores/archive/australian-open/580/2019/results,2019
274,Cordoba,Cordoba,Argentina,2019.02.04,"$589,680",Juan Ignacio Londero,Clay,/en/scores/archive/cordoba/9158/2019/results,2019
275,Montpellier,Montpellier,France,2019.02.04,"€586,140",Jo-Wilfried Tsonga,Hard,/en/scores/archive/montpellier/375/2019/results,2019
276,Sofia,Sofia,Bulgaria,2019.02.04,"€586,140",Daniil Medvedev,Hard,/en/scores/archive/sofia/7434/2019/results,2019
277,Rotterdam,Rotterdam,Netherlands,2019.02.11,"€2,098,480",Gael Monfils,Hard,/en/scores/archive/rotterdam/407/2019/results,2019
278,New York,New York,United States,2019.02.11,"$777,385",Reilly Opelka,Hard,/en/scores/archive/new-york/424/2019/results,2019
279,Buenos Aires,Buenos Aires,Argentina,2019.02.11,"$673,135",Marco Cecchinato,Clay,/en/scores/archive/buenos-aires/506/2019/results,2019
280,Rio de Janeiro,Rio de Janeiro,Brazil,2019.02.18,"$1,937,740",Laslo Djere,Clay,/en/scores/archive/rio-de-janeiro/6932/2019/results,2019
281,Marseille,Marseille,France,2019.02.18,"€744,010",Stefanos Tsitsipas,Hard,/en/scores/archive/marseille/496/2019/results,2019
282,Delray Beach,Delray Beach,United States,2019.02.18,"$651,215",Radu Albot,Hard,/en/scores/archive/delray-beach/499/2019/results,2019
283,Dubai,Dubai,United Arab Emirates,2019.02.25,"$2,887,895",Roger Federer,Hard,/en/scores/archive/dubai/495/2019/results,2019
284,Acapulco,Acapulco,Mexico,2019.02.25,"$1,931,110",Nick Kyrgios,Hard,/en/scores/archive/acapulco/807/2019/results,2019
285,Sao Paulo,Sao Paulo,Brazil,2019.02.25,"$618,810",Guido Pella,Clay,/en/scores/archive/sao-paulo/533/2019/results,2019
286,ATP Masters 1000 Indian Wells,Indian Wells,United States,2019.03.07,"$9,314,875",Dominic Thiem,Hard,/en/scores/archive/indian-wells/404/2019/results,2019
287,ATP Masters 1000 Miami,Miami,United States,2019.03.20,"$9,314,875",Roger Federer,Hard,/en/scores/archive/miami/403/2019/results,2019
288,Houston,Houston,United States,2019.04.08,"$652,245",Cristian Garin,Clay,/en/scores/archive/houston/717/2019/results,2019
