,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
124,Hapoel Beer Sheva,AC Sparta Praha,0,1,AwayTeam,Group K,-,"Oct 20, 2016"
125,Inter Milan,Southampton FC,1,0,HomeTeam,Group K,-,"Oct 20, 2016"
126,AC Sparta Praha,Hapoel Beer Sheva,2,0,HomeTeam,Group K,-,"Nov 3, 2016"
127,Southampton FC,Inter Milan,2,1,HomeTeam,Group K,-,"Nov 3, 2016"
128,AC Sparta Praha,Southampton FC,1,0,HomeTeam,Group K,-,"Nov 24, 2016"
129,Hapoel Beer Sheva,Inter Milan,3,2,HomeTeam,Group K,-,"Nov 24, 2016"
130,Southampton FC,Hapoel Beer Sheva,1,1,Draw,Group K,-,"Dec 8, 2016"
131,Inter Milan,AC Sparta Praha,2,1,HomeTeam,Group K,-,"Dec 8, 2016"
132,Osmanlispor FK,Steaua Bukarest,2,0,HomeTeam,Group L,-,"Sep 15, 2016"
133,Villarreal CF,FC Zürich,2,1,HomeTeam,Group L,-,"Sep 15, 2016"
134,Steaua Bukarest,Villarreal CF,1,1,Draw,Group L,-,"Sep 29, 2016"
135,FC Zürich,Osmanlispor FK,2,1,HomeTeam,Group L,-,"Sep 29, 2016"
136,Osmanlispor FK,Villarreal CF,2,2,Draw,Group L,-,"Oct 20, 2016"
137,Steaua Bukarest,FC Zürich,1,1,Draw,Group L,-,"Oct 20, 2016"
138,Villarreal CF,Osmanlispor FK,1,2,AwayTeam,Group L,-,"Nov 3, 2016"
139,FC Zürich,Steaua Bukarest,0,0,Draw,Group L,-,"Nov 3, 2016"
140,FC Zürich,Villarreal CF,1,1,Draw,Group L,-,"Nov 24, 2016"
141,Steaua Bukarest,Osmanlispor FK,2,1,HomeTeam,Group L,-,"Nov 24, 2016"
142,Villarreal CF,Steaua Bukarest,2,1,HomeTeam,Group L,-,"Dec 8, 2016"
143,Osmanlispor FK,FC Zürich,2,0,HomeTeam,Group L,-,"Dec 8, 2016"
144,FK Krasnodar,Fenerbahce SK,1,0,HomeTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
145,AZ Alkmaar,Olympique Lyon,1,4,AwayTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
146,KAA Gent,Tottenham Hotspur,1,0,HomeTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
147,Celta de Vigo,Shakhtar Donetsk,0,1,AwayTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
148,Astra Giurgiu,KRC Genk,2,2,Draw,intermediate stage 1st leg,-,"Feb 16, 2017"
149,Borussia Mönchengladbach,ACF Fiorentina,0,1,AwayTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
150,FK Rostov,AC Sparta Praha,4,0,HomeTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
151,Olympiacos Piraeus,Osmanlispor FK,0,0,Draw,intermediate stage 1st leg,-,"Feb 16, 2017"
152,PFK Ludogorets Razgrad,FC Copenhagen,1,2,AwayTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
153,Athletic Bilbao,APOEL Nicosia,3,2,HomeTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
154,PAOK Thessaloniki,FC Schalke 04,0,3,AwayTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
155,Villarreal CF,AS Roma,0,4,AwayTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
156,Legia Warszawa,Ajax Amsterdam,0,0,Draw,intermediate stage 1st leg,-,"Feb 16, 2017"
157,Hapoel Beer Sheva,Besiktas JK,1,3,AwayTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
158,Manchester United,AS Saint-Étienne,3,0,HomeTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
159,RSC Anderlecht,Zenit St. Petersburg,2,0,HomeTeam,intermediate stage 1st leg,-,"Feb 16, 2017"
160,FC Schalke 04,PAOK Thessaloniki,1,1,Draw,intermediate stage 2nd leg,FC Schalke 04,"Feb 22, 2017"
161,Fenerbahce SK,FK Krasnodar,1,1,Draw,intermediate stage 2nd leg,FK Krasnodar,"Feb 22, 2017"
162,AS Saint-Étienne,Manchester United,0,1,AwayTeam,intermediate stage 2nd leg,Manchester United,"Feb 22, 2017"
163,Osmanlispor FK,Olympiacos Piraeus,0,3,AwayTeam,intermediate stage 2nd leg,Olympiacos Piraeus,"Feb 23, 2017"
164,APOEL Nicosia,Athletic Bilbao,2,0,HomeTeam,intermediate stage 2nd leg,APOEL Nicosia,"Feb 23, 2017"
165,AS Roma,Villarreal CF,0,1,AwayTeam,intermediate stage 2nd leg,AS Roma,"Feb 23, 2017"
