,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
113,Olympiacos Piraeus,Newcastle United,1,3,AwayTeam,last 16 1st leg,-,"Mar 10, 2005"
114,Shakhtar Donetsk,AZ Alkmaar,1,3,AwayTeam,last 16 1st leg,-,"Mar 10, 2005"
115,Austria Vienna,Real Zaragoza,1,1,Draw,last 16 1st leg,-,"Mar 10, 2005"
116,LOSC Lille,AJ Auxerre,0,1,AwayTeam,last 16 1st leg,-,"Mar 10, 2005"
117,Middlesbrough FC,Sporting CP,2,3,AwayTeam,last 16 1st leg,-,"Mar 10, 2005"
118,Sevilla FC,Parma FC,0,0,Draw,last 16 1st leg,-,"Mar 10, 2005"
119,Steaua Bukarest,Villarreal CF,0,0,Draw,last 16 1st leg,-,"Mar 16, 2005"
120,AZ Alkmaar,Shakhtar Donetsk,2,1,HomeTeam,last 16 2nd leg,AZ Alkmaar,"Mar 16, 2005"
121,Newcastle United,Olympiacos Piraeus,4,0,HomeTeam,last 16 2nd leg,Newcastle United,"Mar 16, 2005"
122,CSKA Moscow,FK Partizan Belgrade,2,0,HomeTeam,last 16 2nd leg,CSKA Moscow,"Mar 17, 2005"
123,Parma FC,Sevilla FC,1,0,HomeTeam,last 16 2nd leg,Parma FC,"Mar 17, 2005"
124,AJ Auxerre,LOSC Lille,0,0,Draw,last 16 2nd leg,AJ Auxerre,"Mar 17, 2005"
125,Sporting CP,Middlesbrough FC,1,0,HomeTeam,last 16 2nd leg,Sporting CP,"Mar 17, 2005"
126,Real Zaragoza,Austria Vienna,2,2,Draw,last 16 2nd leg,Austria Vienna,"Mar 17, 2005"
127,Villarreal CF,Steaua Bukarest,2,0,HomeTeam,last 16 2nd leg,Villarreal CF,"Mar 20, 2005"
128,CSKA Moscow,AJ Auxerre,4,0,HomeTeam,Quarter-Finals 1st leg,-,"Apr 7, 2005"
129,Austria Vienna,Parma FC,1,1,Draw,Quarter-Finals 1st leg,-,"Apr 7, 2005"
130,Newcastle United,Sporting CP,1,0,HomeTeam,Quarter-Finals 1st leg,-,"Apr 7, 2005"
131,Villarreal CF,AZ Alkmaar,1,2,AwayTeam,Quarter-Finals 1st leg,-,"Apr 7, 2005"
132,AZ Alkmaar,Villarreal CF,1,1,Draw,Quarter-Finals 2nd leg,AZ Alkmaar,"Apr 14, 2005"
133,AJ Auxerre,CSKA Moscow,2,0,HomeTeam,Quarter-Finals 2nd leg,CSKA Moscow,"Apr 14, 2005"
134,Parma FC,Austria Vienna,0,0,Draw,Quarter-Finals 2nd leg,Parma FC,"Apr 14, 2005"
135,Sporting CP,Newcastle United,4,1,HomeTeam,Quarter-Finals 2nd leg,Sporting CP,"Apr 14, 2005"
136,Parma FC,CSKA Moscow,0,0,Draw,Semi-Finals 1st Leg,-,"Apr 28, 2005"
137,Sporting CP,AZ Alkmaar,2,1,HomeTeam,Semi-Finals 1st Leg,-,"Apr 28, 2005"
138,CSKA Moscow,Parma FC,3,0,HomeTeam,Semi-Finals 2nd Leg,CSKA Moscow,"May 5, 2005"
139,AZ Alkmaar,Sporting CP,3,2,HomeTeam,Semi-Finals 2nd Leg,Sporting CP,"May 5, 2005"
140,Sporting CP,CSKA Moscow,1,3,AwayTeam,Final,CSKA Moscow,"May 18, 2005"
