,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
114,Real Madrid,Galatasaray SK,3,0,HomeTeam,Quarter-Finals 1st leg,-,"Apr 3, 2013"
115,Málaga CF,Borussia Dortmund,0,0,Draw,Quarter-Finals 1st leg,-,"Apr 3, 2013"
116,Borussia Dortmund,Málaga CF,3,2,HomeTeam,Quarter-Finals 2nd leg,Borussia Dortmund,"Apr 9, 2013"
117,Galatasaray SK,Real Madrid,3,2,HomeTeam,Quarter-Finals 2nd leg,Real Madrid,"Apr 9, 2013"
118,Juventus FC,Bayern Munich,0,2,AwayTeam,Quarter-Finals 2nd leg,Bayern Munich,"Apr 10, 2013"
119,FC Barcelona,Paris Saint-Germain,1,1,Draw,Quarter-Finals 2nd leg,FC Barcelona,"Apr 10, 2013"
120,Bayern Munich,FC Barcelona,4,0,HomeTeam,Semi-Finals 1st Leg,-,"Apr 23, 2013"
121,Borussia Dortmund,Real Madrid,4,1,HomeTeam,Semi-Finals 1st Leg,-,"Apr 24, 2013"
122,Real Madrid,Borussia Dortmund,2,0,HomeTeam,Semi-Finals 2nd Leg,Borussia Dortmund,"Apr 30, 2013"
123,FC Barcelona,Bayern Munich,0,3,AwayTeam,Semi-Finals 2nd Leg,Bayern Munich,"May 1, 2013"
124,Borussia Dortmund,Bayern Munich,1,2,AwayTeam,Final,Bayern Munich,"May 25, 2013"
