,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,ToNextStage,Date
64,Basel,Manchester United,1,0,HomeTeam,Group,-,-
65,CSKA,Benfica,2,0,HomeTeam,Group,-,-
66,Anderlecht,Bayern,1,2,AwayTeam,Group,-,-
67,Paris,Celtic,7,1,HomeTeam,Group,-,-
68,Qarabağ,Chelsea,0,4,AwayTeam,Group,-,-
69,Atlético,Roma,2,0,HomeTeam,Group,-,-
70,Juventus,Barcelona,0,0,Draw,Group,-,-
71,Sporting CP,Olympiacos,3,1,HomeTeam,Group,-,-
72,Spartak Moskva,Maribor,1,1,Draw,Group,-,-
73,Sevilla,Liverpool,3,3,Draw,Group,-,-
74,Napoli,Shakhtar,3,0,HomeTeam,Group,-,-
75,Manchester City,Feyenoord,1,0,HomeTeam,Group,-,-
76,Beşiktaş,Porto,1,1,Draw,Group,-,-
77,Monaco,RB Leipzig,1,4,AwayTeam,Group,-,-
78,APOEL,Real Madrid,0,6,AwayTeam,Group,-,-
79,Dortmund,Tottenham,1,2,AwayTeam,Group,-,-
80,Benfica,Basel,0,2,AwayTeam,Group,-,-
81,Manchester United,CSKA,2,1,HomeTeam,Group,-,-
82,Bayern,Paris,3,1,HomeTeam,Group,-,-
83,Celtic,Anderlecht,0,1,AwayTeam,Group,-,-
84,Roma,Qarabağ,1,0,HomeTeam,Group,-,-
85,Chelsea,Atlético Madrid,1,1,Draw,Group,-,-
86,Barcelona,Sporting CP,2,0,HomeTeam,Group,-,-
87,Olympiacos,Juventus,0,2,AwayTeam,Group,-,-
88,Maribor,Sevilla,1,1,Draw,Group,-,-
89,Liverpool,Spartak Moskva,7,0,HomeTeam,Group,-,-
90,Shakhtar,Manchester City,2,1,HomeTeam,Group,-,-
91,Feyenoord,Napoli,2,1,HomeTeam,Group,-,-
92,Leipzig,Beşiktaş,1,2,AwayTeam,Group,-,-
93,Porto,Monaco,5,2,HomeTeam,Group,-,-
94,Real Madrid,Dortmund,3,2,HomeTeam,Group,-,-
95,Tottenham,APOEL,3,0,HomeTeam,Group,-,-
96,Juventus,Tottenham,2,2,Draw,RoundOf16,-,13 February
97,Basel,Manchester City,0,4,AwayTeam,RoundOf16,-,13 February
98,Porto,Liverpool,0,5,AwayTeam,RoundOf16,-,14 February
99,Real Madrid,Paris,3,1,HomeTeam,RoundOf16,-,14 February
100,Chelsea,Barcelona,1,1,Draw,RoundOf16,-,20 February
101,Bayern,Beşiktaş,5,0,HomeTeam,RoundOf16,-,20 February
102,Sevilla,Manchester United,0,0,Draw,RoundOf16,-,21 February
103,Shakhtar,Roma,2,1,HomeTeam,RoundOf16,-,21 February
104,Liverpool,Porto,0,0,Draw,RoundOf16,Liverpool,6 March
105,Paris,Real Madrid,1,2,AwayTeam,RoundOf16,Real Madrid,6 March
106,Tottenham,Juventus,1,2,AwayTeam,RoundOf16,Juventus,7 March
107,Manchester City,Basel,1,2,AwayTeam,RoundOf16,Manchester City,7 March
108,Manchester United,Sevilla,1,2,AwayTeam,RoundOf16,Sevilla,13 March
109,Roma,Shakhtar,1,0,HomeTeam,RoundOf16,Roma,13 March
110,Barcelona,Chelsea,3,0,HomeTeam,RoundOf16,Barcelona,14 March
111,Beşiktaş,Bayern,1,3,AwayTeam,RoundOf16,Bayern,14 March
112,Sevilla,Bayern,1,2,AwayTeam,QuarterFinal,-,3 April
113,Juventus,Real Madrid,0,3,AwayTeam,QuarterFinal,-,3 April
114,Barcelona,Roma,4,1,HomeTeam,QuarterFinal,-,4 April
115,Liverpool,Man. City,3,0,HomeTeam,QuarterFinal,-,4 April
116,Roma,Barcelona,3,0,HomeTeam,QuarterFinal,Roma,10 April
117,Man. City,Liverpool,1,2,AwayTeam,QuarterFinal,Liverpool,10 April
118,Bayern,Sevilla,0,0,Draw,QuarterFinal,Bayern,11 April
119,Real Madrid,Juventus,1,3,AwayTeam,QuarterFinal,Real Madrid,11 April
120,Liverpool,Roma,5,2,HomeTeam,SemiFinal,-,24 April
121,Bayern,Real Madrid,1,2,AwayTeam,SemiFinal,-,25 April
122,Real Madrid,Bayern,2,2,Draw,SemiFinal,Real Madrid,1 May
123,Roma,Liverpool,4,2,HomeTeam,SemiFinal,Liverpool,2 May
124,Real Madrid,Liverpool,3,1,HomeTeam,Final,-,26 May
