,TeamName,Country,NoPlayers,AvgAge,NoForeigners,TotalPlayersValue,Coach,AgeCouch,Stadium,StadiumCapacity
193,SK Slavia Prague,Czech Republic,27,"25,0",8,€37.35m,Jindrich Trpisovsky,44 Years,Sinobo Stadium,20.617 Seats
194,FC Viktoria Plzen,Czech Republic,28,"28,0",7,€26.40m,Adrian Gula,44 Years,Doosan Aréna,11.700 Seats
195,FK Jablonec,Czech Republic,28,"26,4",4,€13.45m,Petr Rada,61 Years,Střelnice,6.108 Seats
196,FK Mladá Boleslav,Czech Republic,33,"24,1",8,€12.45m,Jozef Weber,49 Years,Lokotrans Arena,5.000 Seats
197,FC Banik Ostrava,Czech Republic,23,"28,1",4,€11.18m,Lubos Kozel,49 Years,Městský stadion,15.123 Seats
198,FC Slovan Liberec,Czech Republic,24,"24,2",8,€10.53m,Pavel Hoftych,52 Years,Stadion U Nisy,9.900 Seats
199,SK Sigma Olomouc,Czech Republic,24,"27,8",2,€9.60m,Radoslav Latal,50 Years,Andrův stadion,12.464 Seats
200,FC Bohemians Prag 1905,Czech Republic,26,"26,9",6,€8.60m,Ludek Klusacek,53 Years,Ďolíček,5.000 Seats
201,1.FC Slovácko,Czech Republic,24,"27,5",2,€8.00m,Martin Svedik,45 Years,Městský fotbalový stadion Miroslava Valenty,8.000 Seats
202,FK Teplice,Czech Republic,26,"27,2",5,€7.63m,Stanislav Hejkal,50 Years,AGC Aréna,18.221 Seats
203,FC FASTAV Zlin,Czech Republic,27,"26,0",11,€7.63m,Jan Kamenik,38 Years,Stadion Letná,6.375 Seats
204,MFK Karvina,Czech Republic,27,"25,7",15,€7.08m,Juraj Jarabek,57 Years,Městský stadion,4.833 Seats
205,SK Dynamo Ceske Budejovice,Czech Republic,25,"27,7",6,€7.00m,Reinhold Mielke,82 Years,Fotbalový stadion Střelecký ostrov,6.746 Seats
206,1.FK Pribram,Czech Republic,28,"26,3",8,€5.20m,Pavel Horvath,44 Years,Stadion Na Litavce,9.100 Seats
207,Slezsky FC Opava,Czech Republic,25,"28,2",4,€5.15m,Jiri Balcarek,46 Years,Stadion v Mestskych sadech,7.758 Seats
