,TeamName,Country,NoPlayers,AvgAge,NoForeigners,TotalPlayersValue,Coach,AgeCouch,Stadium,StadiumCapacity
427,FC Bayern Munich II,Germany,30,"22,0",9,€32.50m,Sebastian Hoeneß,37 Years,Städtisches Stadion an der Grünwalder Straße,15.000 Seats
428,1.FC Kaiserslautern,Germany,33,"24,3",6,€7.73m,Boris Schommers,41 Years,Fritz-Walter-Stadion,49.850 Seats
429,FC Ingolstadt 04,Germany,26,"24,9",5,€7.00m,Matthias Grote,32 Years,Audi Sportpark,15.800 Seats
430,KFC Uerdingen 05,Germany,28,"27,5",11,€6.90m,Stefan Krämer,53 Years,ESPRIT arena,54.600 Seats
431,Eintracht Braunschweig,Germany,29,"26,5",3,€6.70m,Marco Antwerpen,48 Years,EINTRACHT-Stadion,23.325 Seats
432,FC Hansa Rostock,Germany,28,"25,4",7,€6.48m,Jens Härtel,50 Years,Ostseestadion,29.000 Seats
433,Hallescher FC,Germany,27,"25,5",2,€6.03m,Ismail Atalan,40 Years,erdgas-Sportpark,15.057 Seats
434,SpVgg Unterhaching,Germany,25,"26,8",1,€5.98m,Claus Schromm,50 Years,Sportpark Unterhaching,15.053 Seats
435,TSV 1860 Munich,Germany,30,"25,3",1,€5.80m,Michael Köllner,50 Years,Städtisches Stadion an der Grünwalder Straße,15.000 Seats
436,1.FC Magdeburg,Germany,24,"25,9",5,€5.78m,Claus-Dieter Wollitz,54 Years,MDCC-Arena,28.000 Seats
437,MSV Duisburg,Germany,24,"25,2",4,€5.68m,Torsten Lieberknecht,46 Years,Schauinsland-Reisen-Arena,31.502 Seats
438,Würzburger Kickers,Germany,28,"23,8",3,€5.38m,Michael Schiele,42 Years,Flyeralarm Arena,13.090 Seats
439,FC Viktoria Köln,Germany,30,"26,2",4,€5.33m,Pavel Dotchev,54 Years,Stadion im Sportpark Höhenberg,10.001 Seats
440,FC Carl Zeiss Jena,Germany,32,"24,6",6,€5.03m,René Klingbeil,39 Years,Ernst-Abbe-Sportfeld,10.600 Seats
441,SV Meppen,Germany,26,"26,2",6,€4.85m,Christian Neidhart,51 Years,Hänsch-Arena,13.815 Seats
442,Preußen Münster,Germany,26,"25,2",1,€4.65m,Sascha Hildmann,48 Years,Preußenstadion,15.050 Seats
443,FSV Zwickau,Germany,26,"26,0",3,€4.63m,Joe Enochs,48 Years,GGZ-Arena,10.134 Seats
444,SV Waldhof Mannheim,Germany,27,"25,9",8,€4.63m,Bernhard Trares,54 Years,Carl-Benz-Stadion,25.721 Seats
445,Chemnitzer FC,Germany,27,"25,6",7,€4.58m,Patrick Glöckner,43 Years,Stadion - An der Gellertstraße,15.200 Seats
446,SG Sonnenhof Großaspach,Germany,29,"25,5",6,€4.25m,Hans-Jürgen Boysen,62 Years,WIRmachenDRUCK Arena,10.001 Seats
447,Olympiacos Piraeus,Greece,29,"27,0",19,€73.80m,Pedro Martins,49 Years,Stadio Georgios Karaiskakis,32.115 Seats
448,PAOK Thessaloniki,Greece,27,"27,0",19,€65.00m,Abel Ferreira,41 Years,Toumba Stadium,28.703 Seats
449,AEK Athens,Greece,28,"25,9",15,€34.60m,Massimo Carrera,55 Years,Olympiako Stadio Athinon,69.618 Seats
450,Panathinaikos Athens,Greece,34,"23,8",13,€23.10m,Georgios Donis,50 Years,Olympiako Stadio Athinas Spyros Louis,69.618 Seats
451,Atromitos Athen,Greece,26,"26,7",10,€13.55m,Savvas Pantelidis,55 Years,Stadio Peristeriou,9.050 Seats
452,AE Larisa,Greece,33,"26,5",19,€12.78m,Michalis Grigoriou,46 Years,AEL FC Arena,16.118 Seats
453,Aris Thessaloniki,Greece,26,"27,6",18,€12.75m,Michael Oenning,54 Years,"Gipedo ""Kleanthis Vikelidis""",22.800 Seats
454,OFI Crete,Greece,31,"25,7",11,€11.10m,Georgios Simos,42 Years,Gipedo Theodoros Vardinogiannis,9.088 Seats
455,AO Xanthi,Greece,30,"26,8",19,€10.60m,Georgios Paraschos,67 Years,Xanthi Arena,7.361 Seats
456,Asteras Tripolis,Greece,34,"25,2",20,€9.98m,Milan Rastavac,46 Years,Gipedo Theodoros Kolokotronis,7.423 Seats
457,Panetolikos GFS,Greece,28,"26,2",17,€8.35m,Makis Chavos,50 Years,Gipedo Panetolikou,5.230 Seats
458,Volos NPS,Greece,26,"25,5",10,€7.90m,Stefanos Xirofotos,44 Years,Panthessaliko Stadio,0 Seats
459,PAS Lamia 1964,Greece,32,"27,2",13,€7.40m,Apostolos Mantzios,50 Years,Stadio Lamia,5.500 Seats
460,Panionios Athens,Greece,29,"24,8",10,€7.28m,Leonidas Vokolos,49 Years,Stadio Neas Smyrnis,11.700 Seats
461,Apollon Smyrnis,Greece,29,"27,0",9,€6.40m,Babis Tennes,66 Years,"Gipedo Rizoupolis ""Georgios Kamaras""",14.200 Seats
462,PAS Giannina,Greece,27,"25,0",5,€6.10m,Argirios Giannikis,39 Years,Stadio Zosimades,7.652 Seats
463,PAE Chania,Greece,27,"27,5",2,€5.23m,Alekos Vosniadis,58 Years,Dimotiko Gipedo Perivolia,3.700 Seats
464,GS Ergotelis,Greece,28,"23,2",9,€4.15m,Giannis Taousianis,47 Years,Pankritio Stadio,25.780 Seats
465,APO Levadiakos,Greece,24,"25,4",7,€4.15m,Sotiris Antoniou,44 Years,Stadio Livadias,5.915 Seats
466,AO Platanias,Greece,30,"23,1",4,€3.90m,Giannis Tatsis,47 Years,Dimotiko Gipedo Perivolia,3.700 Seats
467,Panachaiki GE,Greece,27,"24,1",4,€3.38m,Sokratis Ofrydopoulos,46 Years,"Gipedo Panachaiki ""Kostas Davourlis""",11.321 Seats
468,Apollon Larisas,Greece,27,"24,4",4,€3.25m,Arjan Bellaj,49 Years,Gipedo Filippoupolis,5.000 Seats
469,Doxa Dramas,Greece,24,"24,5",5,€2.98m,Konstantinos Vasilakakis,63 Years,Gipedo Doxa Dramas,7.280 Seats
470,AE Karaiskakis Artas,Greece,27,"24,8",2,€2.33m,Georgios Petrakis,32 Years,Dimotiko Stadio Agion Anargyron,1.700 Seats
471,Apollon Pontou,Greece,22,"21,5",3,€650k,Dimitrios Kalaitzidis,63 Years,Stadio Kalamarias,6.500 Seats
472,AOK Kerkyra,Greece,28,"20,7",6,€225k,Christos Vasalos,46 Years,Ethniko Stadio Kerkyras,3.000 Seats
473,Ferencvárosi TC,Hungary,30,"26,6",15,€23.63m,Sergiy Rebrov,45 Years,Groupama Aréna,23.698 Seats
474,MOL Fehérvár FC,Hungary,30,"26,9",11,€22.03m,Joan Carrillo,51 Years,MOL Aréna Sóstó,14.144 Seats
475,Puskás Akadémia FC,Hungary,29,"25,0",12,€9.40m,Zsolt Hornyak,47 Years,Pancho Aréna,3.816 Seats
476,Budapest Honvéd FC,Hungary,25,"27,8",11,€9.03m,István Urbányi,52 Years,Bozsik József  Stadion,10.000 Seats
477,Debreceni VSC,Hungary,27,"26,1",7,€7.88m,Zoltán Vitelki,49 Years,Nagyerdei Stadion,20.340 Seats
478,Újpest FC,Hungary,26,"25,7",12,€6.93m,Nebojsa Vignjevic,51 Years,Szusza Ferenc Stadion,12.670 Seats
479,Diósgyőri VTK,Hungary,27,"25,5",11,€6.08m,Tamás Feczkó,42 Years,DVTK Stadion,15.325 Seats
480,Mezőkövesd Zsóry FC,Hungary,23,"27,1",9,€5.95m,Attila Kuttor,49 Years,Városi Stadion,4.500 Seats
481,Paksi FC,Hungary,26,"28,3",0,€5.65m,Gábor Osztermájer,42 Years,Fehérvári úti Stadion,6.150 Seats
482,Zalaegerszegi TE FC,Hungary,22,"25,8",8,€5.60m,Gábor Márton,53 Years,ZTE-Aréna,11.200 Seats
483,Kisvárda FC,Hungary,24,"27,9",14,€5.28m,Tamás Bódog,49 Years,Várkert,2.993 Seats
484,Kaposvári Rákóczi FC,Hungary,27,"26,7",4,€4.05m,László Disztl,57 Years,Rákóczi Stadion,7.000 Seats
485,KR Reykjavík,Iceland,29,"26,3",4,€2.80m,Rúnar Kristinsson,50 Years,KR-völlur,2.801 Seats
486,Valur Reykjavík,Iceland,25,"26,7",6,€2.65m,Heimir Gudjónsson,51 Years,Origo völlurinn,3.000 Seats
487,Stjarnan Gardabaer,Iceland,24,"27,6",1,€2.18m,Rúnar Páll Sigmundsson,45 Years,Samsung völlurinn,1.292 Seats
488,Breidablik Kópavogur,Iceland,26,"24,1",2,€2.13m,Óskar Hrafn Thorvaldsson,46 Years,Kópavogsvöllur,5.501 Seats
489,KA Akureyri,Iceland,29,"24,5",4,€2.05m,Óli Stefán Flóventsson,44 Years,Akureyrarvöllur,1.645 Seats
490,FH Hafnarfjördur,Iceland,20,"26,0",3,€1.78m,Ólafur Helgi Kristjánsson,51 Years,Kaplakriki,6.450 Seats
491,Víkingur Reykjavík,Iceland,24,"25,2",2,€1.58m,Arnar Gunnlaugsson,47 Years,Víkingsvöllur,1.449 Seats
492,Fylkir Reykjavík,Iceland,25,"25,6",3,€1.35m,Ólafur Ingi Stígsson,44 Years,Würth völlurinn,2.872 Seats
493,ÍA Akranes,Iceland,25,"23,6",1,€1.05m,Joey Gudjónsson,39 Years,Norðurálsvöllurinn,3.054 Seats
494,HK Kópavogs,Iceland,24,"24,8",0,€950k,Brynjar Gunnarsson,44 Years,Korinn,1.564 Seats
495,Fjölnir Reykjavík,Iceland,23,"22,4",0,€750k,Ásmundur Arnarsson,48 Years,Extra völlurinn,1.300 Seats
496,ÍF Grótta,Iceland,29,"22,0",0,€700k,Ágúst Thór Gylfason,48 Years,Vivaldivöllurinn,1.500 Seats
497,Juventus FC,Italy,23,"29,6",16,€614.70m,Maurizio Sarri,61 Years,Allianz Stadium,41.507 Seats
498,Inter Milan,Italy,26,"28,7",15,€553.35m,Antonio Conte,50 Years,Giuseppe Meazza,75.923 Seats
499,SSC Napoli,Italy,26,"27,9",21,€526.60m,Gennaro Gattuso,42 Years,San Paolo,54.726 Seats
500,AS Roma,Italy,28,"27,2",20,€354.15m,Paulo Fonseca,47 Years,Olimpico di Roma,73.261 Seats
501,AC Milan,Italy,24,"26,3",17,€327.60m,Stefano Pioli,54 Years,Giuseppe Meazza,75.923 Seats
502,SS Lazio,Italy,28,"27,3",20,€298.73m,Simone Inzaghi,44 Years,Olimpico di Roma,73.261 Seats
503,Atalanta BC,Italy,22,"26,8",17,€265.70m,Gian Piero Gasperini,62 Years,Gewiss Stadium,22.512 Seats
504,ACF Fiorentina,Italy,26,"25,6",17,€251.80m,Giuseppe Iachini,55 Years,Artemio Franchi,47.282 Seats
505,Cagliari Calcio,Italy,25,"28,7",14,€150.93m,Walter Zenga,59 Years,Sardegna Arena,16.416 Seats
506,Torino FC,Italy,22,"27,4",12,€144.65m,Moreno Longo,44 Years,Stadio Grande Torino,27.994 Seats
507,US Sassuolo,Italy,27,"26,4",13,€140.33m,Roberto De Zerbi,40 Years,Mapei Stadium - Città del Tricolore,21.584 Seats
508,Parma Calcio 1913,Italy,27,"28,4",13,€125.18m,Roberto D'Aversa,44 Years,Ennio Tardini,22.352 Seats
509,Bologna FC 1909,Italy,24,"26,7",18,€119.55m,Sinisa Mihajlovic,51 Years,Stadio Renato Dall’Ara,36.462 Seats
510,UC Sampdoria,Italy,27,"26,7",14,€112.35m,Claudio Ranieri,68 Years,Luigi Ferraris,36.348 Seats
511,Hellas Verona,Italy,28,"26,1",13,€106.48m,Ivan Juric,44 Years,Marcantonio Bentegodi,39.211 Seats
512,Genoa CFC,Italy,28,"28,4",15,€104.05m,Davide Nicola,47 Years,Luigi Ferraris,36.599 Seats
513,Udinese Calcio,Italy,23,"27,6",18,€99.43m,Luca Gotti,52 Years,Dacia Arena,25.144 Seats
514,Brescia Calcio,Italy,25,"26,7",9,€78.13m,Diego López,45 Years,Mario Rigamonti,19.550 Seats
515,SPAL,Italy,28,"27,6",14,€59.33m,Luigi Di Biagio,48 Years,Paolo Mazza,16.134 Seats
516,US Lecce,Italy,24,"28,4",9,€43.60m,Fabio Liverani,43 Years,Ettore Giardiniero,31.559 Seats
517,FC Empoli,Italy,28,"25,6",7,€29.30m,Pasquale Marino,57 Years,Carlo Castellani,19.847 Seats
518,Ascoli Calcio,Italy,29,"25,7",9,€22.13m,Roberto Stellone,42 Years,Cino e Lillo Del Duca,20.550 Seats
519,AC Perugia Calcio,Italy,27,"25,7",9,€21.53m,Serse Cosmi,61 Years,Renato Curi,28.000 Seats
520,Benevento Calcio,Italy,27,"28,0",7,€19.74m,Filippo Inzaghi,46 Years,Ciro Vigorito,16.867 Seats
521,Frosinone Calcio,Italy,27,"27,4",5,€18.83m,Alessandro Nesta,44 Years,Benito Stirpe,16.227 Seats
522,FC Crotone,Italy,28,"27,0",13,€16.38m,Giovanni Stroppa,52 Years,Ezio Scida,16.640 Seats
523,AS Livorno,Italy,31,"26,2",13,€16.20m,Antonio Filippini,46 Years,Armando Picchi,19.238 Seats
524,Delfino Pescara 1936,Italy,31,"27,3",7,€15.88m,Nicola Legrottaglie,43 Years,Adriatico,20.476 Seats
525,Chievo Verona,Italy,33,"25,3",17,€15.78m,Alfredo Aglietti,49 Years,Marcantonio Bentegodi,31.045 Seats
526,US Salernitana 1919,Italy,27,"27,1",12,€15.03m,Gian Piero Ventura,72 Years,Arechi,31.300 Seats
527,Spezia Calcio,Italy,26,"26,2",10,€14.83m,Vincenzo Italiano,42 Years,Alberto Picco,10.336 Seats
528,US Cremonese,Italy,25,"27,6",6,€14.05m,Pierpaolo Bisoli,53 Years,Giovanni Zini,7.490 Seats
529,Trapani Calcio,Italy,32,"26,1",11,€13.48m,Fabrizio Castori,65 Years,Polisportivo Provinciale,7.148 Seats
530,Virtus Entella,Italy,27,"27,2",3,€13.40m,Roberto Boscaglia,51 Years,Stadio Comunale di Chiavari,5.535 Seats
531,AC Pisa 1909,Italy,28,"26,6",3,€12.28m,Luca D'Angelo,48 Years,Arena Garibaldi - Romeo Anconetani,8.600 Seats
532,Pordenone Calcio,Italy,25,"28,1",1,€11.58m,Attilio Tesser,61 Years,Dacia Rena - Stadio Friuli,30.667 Seats
533,AS Cittadella,Italy,26,"26,4",0,€10.28m,Roberto Venturato,56 Years,Piercesare Tombolato,7.623 Seats
534,Cosenza Calcio,Italy,25,"27,0",10,€10.20m,Roberto Occhiuzzi,40 Years,San Vito-Luigi Marulla,24.479 Seats
535,Venezia FC,Italy,31,"26,4",5,€10.05m,Alessio Dionisi,40 Years,Pierluigi Penzo,7.426 Seats
536,SS Juve Stabia,Italy,28,"27,6",6,€8.93m,Fabio Caserta,41 Years,Romeo Menti,7.642 Seats
537,FC Astana,Kazakhstan,23,"28,5",11,€28.65m,Michal Bilek,54 Years,Astana Arena,30.000 Seats
538,Kairat Almaty,Kazakhstan,26,"23,6",9,€22.80m,Aleksey Shpilevski,32 Years,Zentralstadion Almaty,23.804 Seats
539,Tobol Kostanay,Kazakhstan,23,"26,7",8,€15.30m,Grigori Babayan,40 Years,Zentralstadion  Kostanay,8.050 Seats
540,Ordabasy Shymkent,Kazakhstan,26,"27,6",9,€15.18m,Kakhaber Tskhadadze,51 Years,Kazhimukan Munaytpasov Stadion,20.000 Seats
541,Kaysar Kyzylorda,Kazakhstan,25,"27,7",9,€11.73m,Stoycho Mladenov,62 Years,Gany Muratbayev Stadium,7.000 Seats
542,Zhetysu Taldykorgan,Kazakhstan,24,"29,3",13,€9.80m,Dmitri Ogai,59 Years,Zhetysu,5.555 Seats
543,Shakhter Karaganda,Kazakhstan,23,"26,9",13,€8.88m,Viacheslav Hroznyi,63 Years,Zentralstadion Shakhter,19.500 Seats
544,Irtysh Pavlodar,Kazakhstan,23,"27,5",12,€7.90m,Milan Milanovic,57 Years,Zentralstadion Pavlodar,11.828 Seats
545,Kaspiy Aktau,Kazakhstan,26,"27,2",10,€7.33m,Srdjan Blagojevic,46 Years,Zhas-Qanat,3.000 Seats
546,Okzhetpes Kokshetau,Kazakhstan,26,"27,0",12,€7.28m,Andrey Karpovich,39 Years,Okzhetpes,4.158 Seats
547,Qyzyljar SK Petropavlovsk,Kazakhstan,29,"27,6",13,€7.08m,Veaceslav Rusnac,44 Years,Karasai,11.000 Seats
548,FK Taraz,Kazakhstan,25,"26,3",10,€5.90m,Vladimir Nikitenko,63 Years,Zentralstadion Taraz,12.527 Seats
549,Sheriff Tiraspol,Moldova,25,"26,2",19,€10.03m,Zoran Zekic,45 Years,Sheriff,13.300 Seats
550,CSF Speranta Nisporeni,Moldova,32,"26,3",12,€4.53m,Iurie Osipenco,45 Years,Stadion Orăşenesc,2.500 Seats
551,FC Petrocub Hîncești,Moldova,26,"25,4",5,€4.15m,Lilian Popescu,46 Years,Stadionul Municipal,2.672 Seats
552,FC Sfintul Gheorghe,Moldova,25,"26,9",4,€4.08m,Serghei Cebotari,39 Years,Stadionul Sătesc,1.500 Seats
553,FC Milsami Orhei,Moldova,21,"23,5",2,€2.23m,Vladimir Veber,78 Years,CSR Orhei,3.023 Seats
554,FC Floreşti,Moldova,16,"29,3",1,€1.35m,Iurie Grosev,43 Years,-,-
555,Dinamo-Auto Tiraspol,Moldova,15,"26,0",3,€1.23m,Igor Dobrovolski,52 Years,Dinamo-Auto,1.300 Seats
556,Codru Lozova,Moldova,26,"23,9",3,€1.05m,Simeon Bulgaru,34 Years,28. Matchday,7                    .
557,Dacia Buiucani,Moldova,15,"22,2",0,€300k,Andrei Martin,45 Years,Stadionul Buiucani,2.000 Seats
558,Ajax Amsterdam,Netherlands,27,"24,6",14,€355.93m,Erik ten Hag,50 Years,Johan Cruijff ArenA,54.990 Seats
559,PSV Eindhoven,Netherlands,24,"25,0",12,€137.03m,Ernest Faber,48 Years,Philips Stadion,35.000 Seats
560,AZ Alkmaar,Netherlands,24,"24,0",8,€113.78m,Arne Slot,41 Years,AFAS Stadion,17.023 Seats
561,Feyenoord Rotterdam,Netherlands,25,"25,1",11,€82.05m,Dick Advocaat,72 Years,Stadion Feyenoord 'De Kuip',47.500 Seats
562,FC Utrecht,Netherlands,23,"25,7",8,€38.85m,John van den Brom,53 Years,Stadion Galgenwaard,23.750 Seats
563,SC Heerenveen,Netherlands,24,"23,0",9,€24.68m,Johnny Jansen,45 Years,Abe Lenstra Stadion,27.224 Seats
564,Willem II Tilburg,Netherlands,25,"24,0",14,€20.90m,Adrie Koster,65 Years,Koning Willem II Stadion,14.700 Seats
565,Vitesse Arnhem,Netherlands,25,"25,0",12,€20.88m,Edward Sturing,56 Years,Gelredome,21.248 Seats
566,FC Twente Enschede,Netherlands,26,"24,4",14,€19.50m,Gonzalo García,36 Years,De Grolsch Veste,30.205 Seats
567,Heracles Almelo,Netherlands,30,"24,3",14,€19.18m,Frank Wormuth,59 Years,Erve Asito,12.400 Seats
568,FC Groningen,Netherlands,24,"23,0",10,€18.38m,Danny Buijs,37 Years,Hitachi Capital Mobility Stadion,22.550 Seats
569,ADO Den Haag,Netherlands,26,"27,4",10,€15.23m,Alan Pardew,58 Years,Cars Jeans Stadion,15.000 Seats
570,FC Emmen,Netherlands,34,"25,2",15,€12.88m,Dick Lukkien,48 Years,De Oude Meerdijk,8.309 Seats
571,PEC Zwolle,Netherlands,25,"24,9",9,€12.88m,John Stegeman,43 Years,MAC³PARK stadion,14.000 Seats
572,Sparta Rotterdam,Netherlands,21,"25,6",6,€12.65m,Henk Fraser,53 Years,Het Kasteel,11.026 Seats
573,Fortuna Sittard,Netherlands,29,"22,6",21,€12.15m,Sjors Ultee,32 Years,Fortuna Sittard Stadion,12.500 Seats
574,VVV-Venlo,Netherlands,28,"24,6",11,€11.15m,Hans de Koning,60 Years,Covebo Stadion - De Koel -,8.000 Seats
575,RKC Waalwijk,Netherlands,27,"25,8",9,€8.98m,Fred Grim,54 Years,Mandemakers Stadion,7.508 Seats
576,Ajax Amsterdam U21,Netherlands,27,"19,7",9,€42.03m,Mitchell van der Gaag,48 Years,Sportpark De Toekomst,2.250 Seats
577,AZ Alkmaar U21,Netherlands,27,"20,3",5,€9.33m,Koen Stam,33 Years,Sportpark De Kalverhoek (AFAS Trainingscomplex),1.000 Seats
578,Almere City FC,Netherlands,31,"25,0",6,€8.60m,Ole Tobiasen,44 Years,Yanmar Stadion,4.500 Seats
579,NAC Breda,Netherlands,27,"22,6",10,€8.20m,Peter Hyballa,44 Years,Rat Verlegh Stadion,19.000 Seats
580,SBV Excelsior Rotterdam,Netherlands,24,"24,2",6,€7.33m,Marinus Dijkhuizen,48 Years,Van Donge & De Roo Stadion - Woudestein,4.400 Seats
581,De Graafschap Doetinchem,Netherlands,28,"24,9",3,€6.83m,Mike Snoei,56 Years,De Vijverberg,12.600 Seats
582,SC Cambuur-Leeuwarden,Netherlands,26,"24,6",5,€6.38m,Henk de Jong,55 Years,Cambuurstadion,10.000 Seats
583,Roda JC Kerkrade,Netherlands,23,"23,9",15,€6.15m,René Trost,55 Years,Parkstad Limburg Stadion,19.979 Seats
584,PSV Eindhoven U21,Netherlands,23,"20,1",11,€6.13m,Peter Uneken,48 Years,PSV Campus De Herdgang,2.500 Seats
585,Go Ahead Eagles Deventer,Netherlands,29,"24,2",9,€6.00m,Jack de Gier,51 Years,De Adelaarshorst,9.800 Seats
586,FC Volendam,Netherlands,28,"22,4",6,€5.98m,Wim Jonk,53 Years,Kras Stadion,7.384 Seats
587,NEC Nijmegen,Netherlands,24,"23,5",4,€5.90m,François Gesthuizen,47 Years,Goffertstadion,12.500 Seats
588,FC Den Bosch,Netherlands,28,"23,0",6,€5.08m,Erik van der Ven,36 Years,Timmermans Infra Stadion De Vliert,8.500 Seats
589,TOP Oss,Netherlands,26,"26,1",6,€4.63m,Klaas Wels,46 Years,Frans Heesen Stadion,4.560 Seats
590,SC Telstar,Netherlands,26,"23,4",8,€4.58m,Andries Jonker,57 Years,Rabobank IJmond Stadion,3.060 Seats
591,MVV Maastricht,Netherlands,20,"23,4",10,€4.23m,Fuat Usta,47 Years,De Geusselt,10.000 Seats
592,FC Eindhoven,Netherlands,29,"22,9",10,€4.20m,Ernie Brandts,64 Years,Jan Louwers Stadion,4.200 Seats
593,Helmond Sport,Netherlands,23,"24,1",3,€3.90m,Wil Boessen,55 Years,SolarUnie Stadion,4.200 Seats
594,FC Dordrecht,Netherlands,24,"22,6",5,€3.88m,Harry van den Ham,65 Years,Riwal Hoogwerkers Stadion,4.235 Seats
595,FC Utrecht U21,Netherlands,23,"20,4",4,€3.00m,René Hake,48 Years,Sportpark Zoudenbalch,450 Seats
596,Rosenborg BK,Norway,24,"24,8",3,€15.50m,Eirik Horneland,45 Years,Lerkendal Stadion,21.510 Seats
597,Molde FK,Norway,26,"25,8",6,€13.55m,Erling Moe,49 Years,Molde Idrettspark,1.400 Seats
598,SK Brann,Norway,22,"27,4",9,€9.40m,Lars Arne Nilsen,56 Years,Brann Stadion,16.750 Seats
599,FK Bodø/Glimt,Norway,27,"22,7",6,€7.48m,Kjetil Knutsen,51 Years,Aspmyra Stadion,8.500 Seats
600,Stabæk Fotball,Norway,25,"23,9",9,€7.35m,Jan Jönsson,59 Years,Nadderud,7.000 Seats
601,Sarpsborg 08 FF,Norway,28,"25,1",8,€7.25m,Mikael Stahre,44 Years,Sarpsborg Stadion,7.500 Seats
602,Odds BK,Norway,22,"24,2",2,€7.20m,Jan Frode Nornes,47 Years,Skagerak Arena,13.500 Seats
603,Vålerenga Fotball,Norway,26,"24,8",9,€7.20m,Dag-Eilev Fagermo,53 Years,Intility Arena,17.333 Seats
604,Viking Stavanger,Norway,23,"25,7",4,€7.15m,Bjarne Berntsen,63 Years,SR-Bank Arena,16.600 Seats
605,Strømsgodset IF,Norway,27,"23,2",8,€6.98m,Henrik Pedersen,42 Years,Marienlyst Stadion,8.935 Seats
606,FK Haugesund,Norway,22,"24,6",8,€6.90m,-,-,Haugesund Stadion,8.983 Seats
607,Kristiansund BK,Norway,24,"26,0",7,€6.60m,Christian Michelsen,44 Years,Kristiansund Stadion,4.444 Seats
608,Aalesunds FK,Norway,24,"25,6",9,€6.60m,Lars Bohinen,50 Years,Color Line Stadion,10.778 Seats
609,Mjøndalen IF,Norway,25,"26,5",8,€5.25m,Vegard Hansen,50 Years,Consto Arena,4.500 Seats
610,IK Start,Norway,26,"24,0",7,€5.13m,Johannes Thór Hardarson,43 Years,Sparebanken Sør Arena,14.300 Seats
611,Sandefjord Fotball,Norway,23,"24,3",8,€4.30m,Martí Cifuentes,37 Years,Komplett Arena,8.000 Seats
612,Legia Warszawa,Poland,28,"27,0",14,€24.70m,Aleksandar Vukovic,40 Years,Stadion Miejski im. Marszałka Józefa Piłsudskiego,30.967 Seats
613,Lech Poznan,Poland,29,"23,6",11,€21.30m,Dariusz Zuraw,47 Years,Stadion Poznań,42.837 Seats
614,Jagiellonia Bialystok,Poland,32,"24,1",14,€12.40m,Ivaylo Petev,44 Years,Stadion Miejski,22.432 Seats
615,Lechia Gdansk,Poland,33,"24,1",14,€11.05m,Piotr Stokowiec,47 Years,Stadion Energa Gdańsk,43.615 Seats
616,Cracovia,Poland,29,"25,1",17,€9.35m,Michal Probierz,47 Years,Stadion Cracovii im. Józefa Piłsudskiego,15.016 Seats
617,Wisla Kraków,Poland,31,"26,0",9,€8.85m,Artur Skowronek,37 Years,Stadion Miejski im. Henryka Reymana,33.130 Seats
618,Pogon Szczecin,Poland,30,"24,0",10,€8.58m,Kosta Runjaic,48 Years,Stadion Miejski im. Floriana Krygiera,18.027 Seats
619,Górnik Zabrze,Poland,29,"24,7",10,€8.45m,Marcin Brosz,46 Years,Arena Zabrze,24.563 Seats
620,Piast Gliwice,Poland,28,"26,8",10,€8.38m,Waldemar Fornalik,56 Years,Stadion Miejski,10.037 Seats
621,Slask Wroclaw,Poland,32,"25,9",11,€8.33m,Vitezslav Lavicka,56 Years,Stadion Miejski,42.771 Seats
622,Zaglebie Lubin,Poland,31,"24,2",8,€8.18m,Martin Sevela,44 Years,Stadion Zagłębia Lubin,16.086 Seats
623,Wisla Plock,Poland,28,"26,8",6,€7.60m,Radoslaw Sobolewski,43 Years,Stadion im. Kazimierza Górskiego,10.978 Seats
624,Arka Gdynia,Poland,31,"26,2",12,€7.13m,Krzysztof Sobieraj,38 Years,Stadion GOSiR,15.139 Seats
625,Korona Kielce,Poland,38,"24,3",19,€6.80m,Maciej Bartoszek,42 Years,Suzuki Arena,15.500 Seats
626,Rakow Czestochowa,Poland,25,"25,6",10,€5.83m,Marek Papszun,45 Years,GKS,5.648 Seats
627,LKS Lodz,Poland,28,"26,2",7,€4.83m,Kazimierz Moskal,53 Years,Stadion MOSiR Łódź,5.700 Seats
628,SL Benfica,Portugal,24,"25,6",13,€269.60m,Bruno Lage,43 Years,Estádio da Luz,65.000 Seats
629,FC Porto,Portugal,25,"26,7",16,€217.53m,Sérgio Conceição,45 Years,Estádio do Dragão,50.399 Seats
630,Sporting CP,Portugal,26,"25,9",19,€98.25m,Rúben Amorim,35 Years,Estádio José Alvalade XXI,50.080 Seats
631,SC Braga,Portugal,26,"26,6",10,€89.50m,Custódio,36 Years,Estádio Municipal de Braga,30.286 Seats
632,Vitória Guimarães SC,Portugal,31,"25,5",23,€40.38m,Ivo Vieira,44 Years,Estádio D. Afonso Henriques,29.865 Seats
633,FC Famalicão,Portugal,24,"24,2",17,€37.10m,João Pedro Sousa,48 Years,Estádio Municipal de Famalicão,5.300 Seats
634,Rio Ave FC,Portugal,23,"26,9",15,€19.73m,Carlos Carvalhal,54 Years,Estádio dos Arcos,9.065 Seats
635,Portimonense SC,Portugal,25,"25,5",19,€18.18m,Paulo Sérgio,52 Years,Portimão Estádio,6.000 Seats
636,Moreirense FC,Portugal,27,"27,1",17,€14.00m,Ricardo Soares,45 Years,E. C. J. de Almeida Freitas,6.153 Seats
637,CS Marítimo,Portugal,21,"27,1",16,€13.93m,José Gomes,49 Years,Estádio dos Barreiros,10.600 Seats
