,FootballTeam,Country,City,Stadium,Capacity
178,Holstein Kiel,Germany,Kiel,Holstein-Stadion,"13,400"
179,RB Leipzig,Germany,Leipzig,Red Bull Arena,"42,959"
180,Bayer 04 Leverkusen,Germany,Leverkusen,BayArena,"30,000"
181,1. FC Magdeburg,Germany,Magdeburg,MDCC-Arena,"25,500"
182,1. FSV Mainz 05,Germany,Mainz,Opel Arena,"34,000"
183,1. FSV Mainz 05 II,Germany,Mainz,Bruchwegstadion,"18,000"
184,Borussia Monchengladbach,Germany,Monchengladbach,Borussia-Park,"54,010"
185,FC Bayern TSV 1860,Germany,Munich,Allianz Arena,"75,000"
186,1. FC Nurnberg,Germany,Nuremberg,Max-Morlock-Stadion,"50,000"
187,SC Paderborn 07,Germany,Paderborn,Benteler-Arena,"15,000"
188,Jahn Regensburg,Germany,Regensburg,Continental Arena,"15,115"
189,1899 Hoffenheim,Germany,Sinsheim,WIRSOL Rhein-Neckar-Arena,"30,150"
190,VFB Stuttgart,Germany,Stuttgart,Mercedes-Benz Arena,"60,441"
191,VFL Wolfsburg,Germany,Wolfsburg,Volkswagen Arena,"30,000"
192,AEK FC,Greece,Athens,OAKA Stadium,"69,918"
193,FC Panionios,Greece,Athens,Nea Smyrni Stadium,"11,700"
194,Panathinaikos FC,Greece,Athens,Apostolos Nikolaidis Stadium,"16,003"
195,Olimpiacos FC,Greece,Piraeus,Karaiskakis Stadium,"33,334"
196,Aris FC,Greece,Thessaloniki,Kleanthis Vikelidis Stadium,"22,800"
197,PAOK FC,Greece,Thessaloniki,Toumba Stadium,"28,703"
198,Xanthi FC,Greece,Xanthi,Xanthi FC Arena,"7,361"
199,--,Hungary,Budapest,Puskas Arena,"67,155"
200,Ferencvaros TC,Hungary,Budapest,Groupama Arena,"23,698"
201,Ujpest FC,Hungary,Budapest,Szusza Ferenc Stadion,"13,501"
202,Debrecen VSC,Hungary,Debrecen,Nagyerdei Stadion,"20,340"
203,Puskas Akademia FC,Hungary,Felcsut,Pancho Arena,"3,400"
204,Fehervar FC,Hungary,Szekesfehervar,MOL Arena Sosto,"14,201"
205,Bari,Italy,Bari,Stadio San Nicola,"58,270"
